extension,file_count,priority,note
.py,100,A,分析条件・特徴量・モデル設定をコードから抽出する対象。
.docx,46,A,本文に加えて、太字・下線・赤字・ハイライトなどの書式情報が重要。
.md,31,A,テキストとして直接読める。社内管理・規定系の確認に使いやすい。
.csv,29,A,表データとして読み込みやすい。質問・分析結果・提出形式の確認に使う。
.json,28,A,設定値・評価値・selected_columnsなどを構造化して抽出しやすい。
.pptx,26,A,スライド本文・図形テキスト・装飾・差分比較の対象。
.xlsx,21,A,セル値だけでなく、シート名・セル色・数式・フィルター情報が重要。
.ipynb,11,A,Notebook内のMarkdown・コード・出力をJSONとして抽出できる。
.png,54,B,グラフ・画像・マーカー読み取り。OCRや画像理解が必要。
.pdf,28,B,テキスト抽出に加え、ページ単位・図表の見た目確認が必要。
.txt,10,B,直接読めるが、件数が少なければ後回しでもよい。
.toml,10,C,必要になった時点で個別対応する。
.lock,9,C,必要になった時点で個別対応する。
.tsv,2,C,必要になった時点で個別対応する。
