relative_path,actual_relative_path,file_name,stem,extension,size_bytes,size_kb,depth,area,project_name,major_folder,is_temp_office_file,source_path
プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_final.pptx,プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_final.pptx,提案書_final.pptx,提案書_final,.pptx,81321,79.42,4,プロジェクト,京橋信用ソリューションズ株式会社,00.提案,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_final.pptx
プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_v1.pptx,プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_v1.pptx,提案書_v1.pptx,提案書_v1,.pptx,81469,79.56,4,プロジェクト,京橋信用ソリューションズ株式会社,00.提案,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_v1.pptx
プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,契約書.docx,契約書,.docx,18644,18.21,4,プロジェクト,京橋信用ソリューションズ株式会社,01.契約,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx
プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,スケジュール.xlsx,スケジュール,.xlsx,24592,24.02,4,プロジェクト,京橋信用ソリューションズ株式会社,02.計画,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx
プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,train,.csv,2345067,2290.1,4,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv
プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md,カラム説明.md,カラム説明,.md,1570,1.53,4,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,leaderboard,.csv,1020,1.0,6,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json,metrics.json,metrics,.json,902,0.88,5,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/README.md,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/README.md,README.md,README,.md,1458,1.42,5,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/README.md
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json,project_config.json,project_config,.json,375,0.37,6,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,train,.csv,2345067,2290.1,6,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/カラム説明.md,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/カラム説明.md,カラム説明.md,カラム説明,.md,1570,1.53,6,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/カラム説明.md
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,01_eda,.ipynb,31047,30.32,6,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/pyproject.toml,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/pyproject.toml,pyproject.toml,pyproject,.toml,357,0.35,5,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/pyproject.toml
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/categorical_distribution_top3.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/categorical_distribution_top3.png,categorical_distribution_top3.png,categorical_distribution_top3,.png,93717,91.52,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/categorical_distribution_top3.png
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/feature_correlation_heatmap.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/feature_correlation_heatmap.png,feature_correlation_heatmap.png,feature_correlation_heatmap,.png,44296,43.26,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/feature_correlation_heatmap.png
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png,figure_06.png,figure_06,.png,110359,107.77,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/missing_rate_top20.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/missing_rate_top20.png,missing_rate_top20.png,missing_rate_top20,.png,44881,43.83,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/missing_rate_top20.png
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/numeric_distribution_top6.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/numeric_distribution_top6.png,numeric_distribution_top6.png,numeric_distribution_top6,.png,191547,187.06,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/numeric_distribution_top6.png
プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/target_distribution.png,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/target_distribution.png,target_distribution.png,target_distribution,.png,24663,24.08,7,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,False,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/target_distribution.png
