document_id,relative_path,file_name,extension,area,project_name,major_folder,source_path,size_bytes,extraction_method,encoding,row_count,column_count,text_length,line_count,text_hash_sha1,text_preview,extra_json
doc_1e6589b3cb58b1fe,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,2345067,csv_summary_sample,utf-8-sig,27128.0,18.0,5777,166,39e1843b1b2e342bc9d76cb98079933caf1934b1,"# source_path: プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 京橋信用ソリューションズ株式会社 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 27128 - 列数: 18 - 区切り文字: ',' - 列名: id, age, job, marital, education, default, balance, housing, loan, contact, day, month, duration, campaign, pdays, previous, poutcome, y  ## dtypes ,dtype id,int64 age,int64 job,str marital,str education,str default,str balance,int64 housing,str loan,str contact,str day","{""separator"": "","", ""cell_count"": 488304, ""columns"": [""id"", ""age"", ""job"", ""marital"", ""education"", ""default"", ""balance"", ""housing"", ""loan"", ""contact"", ""day"", ""month"", ""duration"", ""campaign"", ""pdays"", ""previous"", ""poutcome"", ""y""], ""csv_mode"": ""summary_sample""}"
doc_00ebca6dbf7291ce,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,1020,csv_full,utf-8-sig,10.0,11.0,1699,43,f1b1596713a834ddb701faf14bd295cb0e5a1aa7,"# source_path: プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 京橋信用ソリューションズ株式会社 # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 11 - 区切り文字: ',' - 列名: trial_index, status, model_type, use_date_features, random_state, test_size, task_type, primary_metric, primary_value, secondary_metric, secondary_value  ## dtypes ,dtype trial_index,int64 status,str model_type,str use_date_feat","{""separator"": "","", ""cell_count"": 110, ""columns"": [""trial_index"", ""status"", ""model_type"", ""use_date_features"", ""random_state"", ""test_size"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_4e1099d00a881ae1,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,2345067,csv_summary_sample,utf-8-sig,27128.0,18.0,5797,166,fcbd5298a41324014e9ab78ec92c0f024b68b077,"# source_path: プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 京橋信用ソリューションズ株式会社 # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 27128 - 列数: 18 - 区切り文字: ',' - 列名: id, age, job, marital, education, default, balance, housing, loan, contact, day, month, duration, campaign, pdays, previous, poutcome, y  ## dtypes ,dtype id,int64 age,int64 job,str marital,str education,str default,str balance,int64 housing,str loan","{""separator"": "","", ""cell_count"": 488304, ""columns"": [""id"", ""age"", ""job"", ""marital"", ""education"", ""default"", ""balance"", ""housing"", ""loan"", ""contact"", ""day"", ""month"", ""duration"", ""campaign"", ""pdays"", ""previous"", ""poutcome"", ""y""], ""csv_mode"": ""summary_sample""}"
doc_f0b7ce29b366c297,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,388974,csv_summary_sample,utf-8-sig,3500.0,12.0,6334,100,d33f95c7f24e65b579bd141e942973b760dd6f6a,"# source_path: プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 恒一会 かえで総合病院 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 3500 - 列数: 12 - 区切り文字: ',' - 列名: id, Age, Gender, T_Bil, D_Bil, ALP, ALT_GPT, AST_GOT, TP, Alb, AG_ratio, disease  ## dtypes ,dtype id,int64 Age,int64 Gender,str T_Bil,float64 D_Bil,float64 ALP,float64 ALT_GPT,float64 AST_GOT,float64 TP,float64 Alb,float64 AG_ratio,float64 disease,int64   ## 欠損数 欠損値","{""separator"": "","", ""cell_count"": 42000, ""columns"": [""id"", ""Age"", ""Gender"", ""T_Bil"", ""D_Bil"", ""ALP"", ""ALT_GPT"", ""AST_GOT"", ""TP"", ""Alb"", ""AG_ratio"", ""disease""], ""csv_mode"": ""summary_sample""}"
doc_2e32d4ca43675d3d,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,4563,csv_full,utf-8-sig,10.0,20.0,5568,54,5d2625176fe4303c642704b107028ccc558f7129,"# source_path: プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 恒一会 かえで総合病院 # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 20 - 区切り文字: ',' - 列名: trial_index, trial_role, planner_stage, improves_on, trial_goal, selection_reason, change_summary, status, model_type, use_date_features, use_cyclical_time_features, random_state, test_size, split_strategy, transform_target,","{""separator"": "","", ""cell_count"": 200, ""columns"": [""trial_index"", ""trial_role"", ""planner_stage"", ""improves_on"", ""trial_goal"", ""selection_reason"", ""change_summary"", ""status"", ""model_type"", ""use_date_features"", ""use_cyclical_time_features"", ""random_state"", ""test_size"", ""split_strategy"", ""transform_target"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_f6d86c0ce916d60f,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,388974,csv_summary_sample,utf-8-sig,3500.0,12.0,6354,100,6fd9c25fd113e59756bed0310f42a25aa96964ca,"# source_path: プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 恒一会 かえで総合病院 # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 3500 - 列数: 12 - 区切り文字: ',' - 列名: id, Age, Gender, T_Bil, D_Bil, ALP, ALT_GPT, AST_GOT, TP, Alb, AG_ratio, disease  ## dtypes ,dtype id,int64 Age,int64 Gender,str T_Bil,float64 D_Bil,float64 ALP,float64 ALT_GPT,float64 AST_GOT,float64 TP,float64 Alb,float64 AG_ratio,float64 diseas","{""separator"": "","", ""cell_count"": 42000, ""columns"": [""id"", ""Age"", ""Gender"", ""T_Bil"", ""D_Bil"", ""ALP"", ""ALT_GPT"", ""AST_GOT"", ""TP"", ""Alb"", ""AG_ratio"", ""disease""], ""csv_mode"": ""summary_sample""}"
doc_8647781b7515011a,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,147606,csv_summary_sample,utf-8-sig,3000.0,10.0,3586,90,e9c596582f56abee07db3b19684c5f4a4c38c4eb,"# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 3000 - 列数: 10 - 区切り文字: ',' - 列名: index, Pregnancies, Glucose, BloodPressure, SkinThickness, Insulin, BMI, DiabetesPedigreeFunction, Age, Outcome  ## dtypes ,dtype index,int64 Pregnancies,int64 Glucose,int64 BloodPressure,int64 SkinThickness,int64 Insulin,int64 BMI,float64 DiabetesPedigreeF","{""separator"": "","", ""cell_count"": 30000, ""columns"": [""index"", ""Pregnancies"", ""Glucose"", ""BloodPressure"", ""SkinThickness"", ""Insulin"", ""BMI"", ""DiabetesPedigreeFunction"", ""Age"", ""Outcome""], ""csv_mode"": ""summary_sample""}"
doc_24502e3ef0056698,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,4563,csv_full,utf-8-sig,10.0,20.0,5579,54,c1bd994adfc151924d3c76f609e540c7b884679d,"# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 20 - 区切り文字: ',' - 列名: trial_index, trial_role, planner_stage, improves_on, trial_goal, selection_reason, change_summary, status, model_type, use_date_features, use_cyclical_time_features, random_state, test_size, split_strategy, transfo","{""separator"": "","", ""cell_count"": 200, ""columns"": [""trial_index"", ""trial_role"", ""planner_stage"", ""improves_on"", ""trial_goal"", ""selection_reason"", ""change_summary"", ""status"", ""model_type"", ""use_date_features"", ""use_cyclical_time_features"", ""random_state"", ""test_size"", ""split_strategy"", ""transform_target"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_ce7688021d536580,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,147606,csv_summary_sample,utf-8-sig,3000.0,10.0,3606,90,fc76cefb17050585301d23047554b66ca0224089,"# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 3000 - 列数: 10 - 区切り文字: ',' - 列名: index, Pregnancies, Glucose, BloodPressure, SkinThickness, Insulin, BMI, DiabetesPedigreeFunction, Age, Outcome  ## dtypes ,dtype index,int64 Pregnancies,int64 Glucose,int64 BloodPressure,int64 SkinThickness,int64 Insulin,int64 BMI,float","{""separator"": "","", ""cell_count"": 30000, ""columns"": [""index"", ""Pregnancies"", ""Glucose"", ""BloodPressure"", ""SkinThickness"", ""Insulin"", ""BMI"", ""DiabetesPedigreeFunction"", ""Age"", ""Outcome""], ""csv_mode"": ""summary_sample""}"
doc_5d5dc7e793a9dd40,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,68414,csv_summary_sample,utf-8-sig,1600.0,8.0,2809,102,cfd7bba60d99017f7581467d2a068cb042f12f8b,"# source_path: プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼泉会 ひがし丘総合病院 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 1600 - 列数: 8 - 区切り文字: ',' - 列名: id, age, sex, bmi, children, smoker, region, charges  ## dtypes ,dtype id,int64 age,int64 sex,str bmi,float64 children,int64 smoker,str region,str charges,int64   ## 欠損数 欠損値なし、またはpandas読み込み上は欠損値なし。  ## 先頭サンプル id,age,sex,bmi,children,smoker,region,charges 0,26,male,3","{""separator"": "","", ""cell_count"": 12800, ""columns"": [""id"", ""age"", ""sex"", ""bmi"", ""children"", ""smoker"", ""region"", ""charges""], ""csv_mode"": ""summary_sample""}"
