document_id,extension,relative_path,chunk_count,mean_chunk_length,max_chunk_length,chunk_share
doc_fedf164e75a35759,.ipynb,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb,37,1149.0,1199,0.0301
doc_f8aa3d477d935cb8,.ipynb,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,36,1170.1,1199,0.0293
doc_c24302a2e2b18332,.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,36,1030.3,1200,0.0293
doc_e2f7ed7ede4cfe4f,.csv,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,36,1029.7,1200,0.0293
doc_10145cb6808672ad,.ipynb,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,35,1147.5,1198,0.0285
doc_f7bbe31b3fc35746,.ipynb,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,35,1155.1,1195,0.0285
doc_e52d8af8e3e09f73,.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,34,1151.9,1199,0.0276
doc_de03c1e2611d7376,.ipynb,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,34,1157.0,1199,0.0276
doc_c76ce2191c7a7cf9,.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,34,1152.3,1199,0.0276
doc_281f4f8dee33851a,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/scripts/run_train.py,31,1160.4,1199,0.0252
doc_cecf9c7ef79041bf,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/scripts/run_train.py,31,1145.3,1198,0.0252
doc_f90e331bf1399a0f,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/scripts/run_train.py,31,1144.6,1199,0.0252
doc_ef874fff56cacbf8,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/scripts/run_train.py,31,1145.6,1198,0.0252
doc_fc494cad6b99891d,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/run_train.py,31,1145.3,1198,0.0252
doc_bc9c5d0845ebe443,.ipynb,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb,29,1145.2,1197,0.0236
doc_f7950acecd6c9962,.ipynb,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,28,1139.6,1199,0.0228
doc_f74251b3e48af6b1,.ipynb,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,21,1127.8,1199,0.0171
doc_22cccbd0e3648b72,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,19,1141.4,1173,0.0154
doc_81b5cef8ad5b6965,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/scripts/run_train.py,16,1146.7,1192,0.013
doc_0f57c5fbd2e6af70,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/features.py,14,1111.7,1198,0.0114
doc_24f68be614ae06ba,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/features.py,14,1127.7,1198,0.0114
doc_a7831b1e65e476d4,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/features.py,14,1111.6,1198,0.0114
doc_ab1cf8f76179470e,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py,14,1111.3,1198,0.0114
doc_3f4953fa88bfe0f5,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/features.py,14,1112.3,1198,0.0114
doc_8289b30011ebfdb4,.csv,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,12,1129.3,1196,0.0098
doc_558f0524ad87a81b,.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,12,1131.1,1196,0.0098
doc_5552792aa0ca3de3,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,9,1076.2,1187,0.0073
doc_7902420a604106c8,.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,9,1112.7,1196,0.0073
doc_68708c847d336a37,.csv,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,9,1110.4,1191,0.0073
doc_82125ed4d019a613,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,9,1078.4,1187,0.0073
doc_2e32d4ca43675d3d,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,7,966.7,1137,0.0057
doc_b967690960f21267,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/features.py,7,1092.4,1198,0.0057
doc_f6d86c0ce916d60f,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,7,1078.9,1197,0.0057
doc_0e1137ba748ece0a,.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,7,966.9,1126,0.0057
doc_24502e3ef0056698,.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,7,968.3,1132,0.0057
doc_5361492f93699d0c,.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv,7,957.7,1122,0.0057
doc_36f301e2b52f8a47,.json,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/metrics.json,7,1178.9,1192,0.0057
doc_f0b7ce29b366c297,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,7,1076.0,1197,0.0057
doc_a02be78e1b4315df,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/scripts/run_train.py,7,1078.1,1199,0.0057
doc_a0fd6f5f05b5dd58,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/evaluate.py,6,1044.3,1197,0.0049
doc_c79f81515adf28ee,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/features.py,6,1082.2,1189,0.0049
doc_88188138ccc291b4,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/evaluate.py,6,1029.0,1197,0.0049
doc_6d0a991eb76eb5b8,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/modeling.py,6,1180.2,1196,0.0049
doc_6a440e8b3c08cbf4,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/scripts/run_train.py,6,1038.0,1196,0.0049
doc_aacf7f80580f34e1,.json,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/metrics.json,6,1058.5,1192,0.0049
doc_16621eff4a643323,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/common.py,6,1025.0,1191,0.0049
doc_1cd270041a996a35,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv,6,1067.3,1197,0.0049
doc_3be8232a867332aa,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/evaluate.py,6,1028.0,1197,0.0049
doc_4e1099d00a881ae1,.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,6,1132.5,1199,0.0049
doc_3a4ec1c7b2c7c79b,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/scripts/run_train.py,6,1037.0,1196,0.0049
doc_54f7a587902566e7,.csv,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,6,1064.0,1190,0.0049
doc_1e6589b3cb58b1fe,.csv,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,6,1129.2,1193,0.0049
doc_33f341fcbd1012c0,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/modeling.py,6,1014.8,1196,0.0049
doc_1408e79e6e967a74,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/evaluate.py,6,1030.3,1197,0.0049
doc_f72c5e1ddb7d8121,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/scripts/run_train.py,6,1037.3,1196,0.0049
doc_dddfd875bf5ef009,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/evaluate.py,6,1028.7,1197,0.0049
doc_3a3798293b040d44,.json,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/metrics.json,5,1069.4,1197,0.0041
doc_2bb16ab61c92646e,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,5,1073.2,1199,0.0041
doc_b126b2974232ad86,.json,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/metrics.json,5,1052.8,1197,0.0041
doc_dc5b0dfe2ee237be,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/modeling.py,5,1108.0,1191,0.0041
doc_d767f6662cee7116,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py,5,1178.6,1199,0.0041
doc_1ea2a54683bef8f1,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/modeling.py,5,1177.4,1193,0.0041
doc_067bd64bbc7e38d8,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/modeling.py,5,1178.2,1197,0.0041
doc_6e2805f333f811a4,.csv,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,5,1055.2,1182,0.0041
doc_737214815983ed61,.json,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/run_summary.json,5,1152.2,1188,0.0041
doc_fad68ef3678d5e6e,.json,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/metrics.json,5,997.6,1192,0.0041
doc_0d60794bf3097db5,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/modeling.py,4,1000.8,1185,0.0033
doc_029e628a13ac2b17,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/evaluate.py,4,1170.0,1193,0.0033
doc_0ae9e1534cae15c8,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/common.py,4,1137.5,1187,0.0033
doc_1e3b92117a4a8830,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/preprocess.py,4,1175.5,1197,0.0033
doc_280b55944a8fdcb5,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/evaluate.py,4,984.2,1196,0.0033
doc_f1b6bbe3127cf65b,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/common.py,4,1141.5,1187,0.0033
doc_9d2929f817eac1f6,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/preprocess.py,4,1172.0,1197,0.0033
doc_96cf6cbaffbfb1b2,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/preprocess.py,4,1173.0,1197,0.0033
doc_50640f919a8a5d95,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/evaluate.py,4,1009.8,1187,0.0033
doc_1e2db3541c1a0fc7,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/modeling.py,4,1135.2,1171,0.0033
doc_4034b639f8483885,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/common.py,4,1139.0,1187,0.0033
