document_id,extension,relative_path,extraction_method,size_bytes,text_length,line_count,text_length_share
doc_fedf164e75a35759,.ipynb,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,227836,35387,944,0.0316
doc_f8aa3d477d935cb8,.ipynb,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,339513,35182,978,0.0314
doc_f7bbe31b3fc35746,.ipynb,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,449328,33718,847,0.0301
doc_10145cb6808672ad,.ipynb,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,407839,33472,910,0.0299
doc_de03c1e2611d7376,.ipynb,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,360775,32771,878,0.0293
doc_c76ce2191c7a7cf9,.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,ipynb_cells_text_limited_outputs,6134637,32611,907,0.0291
doc_e52d8af8e3e09f73,.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,5543913,32599,907,0.0291
doc_c24302a2e2b18332,.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,csv_summary_sample,3718995,30092,261,0.0269
doc_e2f7ed7ede4cfe4f,.csv,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,csv_summary_sample,3718995,30072,261,0.0269
doc_281f4f8dee33851a,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/scripts/run_train.py,python_raw_text,30448,30006,643,0.0268
doc_ef874fff56cacbf8,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/scripts/run_train.py,python_raw_text,29966,29545,636,0.0264
doc_fc494cad6b99891d,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/run_train.py,python_raw_text,29966,29537,636,0.0264
doc_cecf9c7ef79041bf,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/scripts/run_train.py,python_raw_text,29966,29535,636,0.0264
doc_f90e331bf1399a0f,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/scripts/run_train.py,python_raw_text,29966,29531,636,0.0264
doc_bc9c5d0845ebe443,.ipynb,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,485457,27653,816,0.0247
doc_f7950acecd6c9962,.ipynb,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,250696,26566,813,0.0237
doc_f74251b3e48af6b1,.ipynb,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,31047,19717,534,0.0176
doc_22cccbd0e3648b72,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,csv_full,17660,18086,232,0.0162
doc_81b5cef8ad5b6965,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/scripts/run_train.py,python_raw_text,15534,15388,345,0.0137
doc_24f68be614ae06ba,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/features.py,python_raw_text,13359,13198,350,0.0118
doc_3f4953fa88bfe0f5,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/features.py,python_raw_text,13135,12995,343,0.0116
doc_0f57c5fbd2e6af70,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/features.py,python_raw_text,13135,12987,343,0.0116
