document_id,relative_path,actual_relative_path,file_name,extension,size_bytes,size_kb,area,project_name,major_folder,source_path
doc_1e6589b3cb58b1fe,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,2345067,2290.1,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv
doc_00ebca6dbf7291ce,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,1020,1.0,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_4e1099d00a881ae1,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,2345067,2290.1,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv
doc_f0b7ce29b366c297,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,388974,379.86,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv
doc_2e32d4ca43675d3d,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,4563,4.46,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_f6d86c0ce916d60f,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,train.csv,.csv,388974,379.86,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv
doc_8647781b7515011a,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,train.csv,.csv,147606,144.15,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv
doc_24502e3ef0056698,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,4563,4.46,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_ce7688021d536580,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,train.csv,.csv,147606,144.15,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv
doc_5d5dc7e793a9dd40,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,train.csv,.csv,68414,66.81,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv
doc_e0d0e60fe1ea09c9,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,2122,2.07,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_714025bfcd086b23,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv,train.csv,.csv,68414,66.81,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv
doc_68708c847d336a37,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,train.csv,.csv,1628834,1590.66,プロジェクト,株式会社東都人材プラットフォーム,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv
doc_0e1137ba748ece0a,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,4563,4.46,プロジェクト,株式会社東都人材プラットフォーム,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_7902420a604106c8,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,train.csv,.csv,1628834,1590.66,プロジェクト,株式会社東都人材プラットフォーム,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv
doc_5552792aa0ca3de3,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,train.csv,.csv,3970168,3877.12,プロジェクト,株式会社青嶺不動産アセットマネジメント,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv
doc_2bb16ab61c92646e,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,3555,3.47,プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_82125ed4d019a613,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,train.csv,.csv,3970168,3877.12,プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv
doc_6e2805f333f811a4,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,3474,3.39,プロジェクト,株式会社青潮モビリティサービス,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_8289b30011ebfdb4,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,train.csv,.csv,113079,110.43,プロジェクト,株式会社青葉バイオメディカル機器,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv
doc_5361492f93699d0c,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,4500,4.39,プロジェクト,株式会社青葉バイオメディカル機器,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_558f0524ad87a81b,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,train.csv,.csv,113079,110.43,プロジェクト,株式会社青葉バイオメディカル機器,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv
doc_e2f7ed7ede4cfe4f,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,train.csv,.csv,3718995,3631.83,プロジェクト,白峰信用リスク評価株式会社,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv
doc_d462e58e8efafb0a,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,1020,1.0,プロジェクト,白峰信用リスク評価株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_c24302a2e2b18332,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,3718995,3631.83,プロジェクト,白峰信用リスク評価株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv
doc_54f7a587902566e7,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,train.csv,.csv,1574827,1537.92,プロジェクト,青葉与信マネジメント株式会社,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv
doc_f9e73324bba4c52d,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,1062,1.04,プロジェクト,青葉与信マネジメント株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv
doc_22cccbd0e3648b72,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,train_preview.csv,.csv,17660,17.25,プロジェクト,青葉与信マネジメント株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv
doc_1cd270041a996a35,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,1574827,1537.92,プロジェクト,青葉与信マネジメント株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv
doc_f74251b3e48af6b1,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,31047,30.32,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_de03c1e2611d7376,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,360775,352.32,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_10145cb6808672ad,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,407839,398.28,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_f7950acecd6c9962,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,250696,244.82,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_fedf164e75a35759,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,227836,222.5,プロジェクト,株式会社東都人材プラットフォーム,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_f7bbe31b3fc35746,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,449328,438.8,プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_bc9c5d0845ebe443,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,485457,474.08,プロジェクト,株式会社青潮モビリティサービス,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_ac36b4fecdfa95d5,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,2742,2.68,プロジェクト,株式会社青葉バイオメディカル機器,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_e52d8af8e3e09f73,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,5543913,5413.98,プロジェクト,白峰信用リスク評価株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_c76ce2191c7a7cf9,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,01_eda_old.ipynb,.ipynb,6134637,5990.86,プロジェクト,白峰信用リスク評価株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb
doc_f8aa3d477d935cb8,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,01_eda.ipynb,.ipynb,339513,331.56,プロジェクト,青葉与信マネジメント株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb
doc_ae8d5836e4aeb61b,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json,metrics.json,.json,902,0.88,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json
doc_79879edbc5800b7a,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json,project_config.json,.json,375,0.37,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/configs/project_config.json
