area,project_name,major_folder,file_count,total_size_kb
プロジェクト,京橋信用ソリューションズ株式会社,04.分析,17,2347.08
プロジェクト,京橋信用ソリューションズ株式会社,03.データ,2,2291.63
プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,18,809.14
プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,2,380.98
プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,18,618.6
プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ,2,145.03
プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,17,344.74
プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ,2,67.38
プロジェクト,株式会社東都人材プラットフォーム,04.分析,18,1894.3500000000001
プロジェクト,株式会社東都人材プラットフォーム,03.データ,2,1590.97
プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,18,4391.46
プロジェクト,株式会社青嶺不動産アセットマネジメント,03.データ,2,3877.56
プロジェクト,株式会社青潮モビリティサービス,04.分析,17,525.86
プロジェクト,株式会社青潮モビリティサービス,03.データ,1,1.32
プロジェクト,株式会社青葉バイオメディカル機器,04.分析,18,195.0
プロジェクト,株式会社青葉バイオメディカル機器,03.データ,2,112.81
プロジェクト,白峰信用リスク評価株式会社,04.分析,18,15065.65
プロジェクト,白峰信用リスク評価株式会社,03.データ,2,3635.48
プロジェクト,青葉与信マネジメント株式会社,04.分析,20,1915.6000000000001
プロジェクト,青葉与信マネジメント株式会社,03.データ,2,1540.0800000000002
社内管理,,データアステル社内管理_決裁基準.md,1,2.04
