chunk_id,document_id,chunk_index,relative_path,file_name,extension,area,project_name,major_folder,start_char,end_char,text_length
doc_1e6589b3cb58b1fe_chunk_0000,doc_1e6589b3cb58b1fe,0,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,0,1179,1179
doc_1e6589b3cb58b1fe_chunk_0001,doc_1e6589b3cb58b1fe,1,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,979,2104,1125
doc_1e6589b3cb58b1fe_chunk_0002,doc_1e6589b3cb58b1fe,2,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,1904,3097,1193
doc_1e6589b3cb58b1fe_chunk_0003,doc_1e6589b3cb58b1fe,3,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,2897,4060,1163
doc_1e6589b3cb58b1fe_chunk_0004,doc_1e6589b3cb58b1fe,4,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,3860,5053,1191
doc_1e6589b3cb58b1fe_chunk_0005,doc_1e6589b3cb58b1fe,5,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,03.データ,4853,5777,924
doc_00ebca6dbf7291ce_chunk_0000,doc_00ebca6dbf7291ce,0,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,0,1184,1184
doc_00ebca6dbf7291ce_chunk_0001,doc_00ebca6dbf7291ce,1,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,984,1699,715
doc_4e1099d00a881ae1_chunk_0000,doc_4e1099d00a881ae1,0,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,0,1199,1199
doc_4e1099d00a881ae1_chunk_0001,doc_4e1099d00a881ae1,1,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,999,2124,1125
doc_4e1099d00a881ae1_chunk_0002,doc_4e1099d00a881ae1,2,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,1924,3117,1193
doc_4e1099d00a881ae1_chunk_0003,doc_4e1099d00a881ae1,3,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,2917,4080,1163
doc_4e1099d00a881ae1_chunk_0004,doc_4e1099d00a881ae1,4,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,3880,5073,1191
doc_4e1099d00a881ae1_chunk_0005,doc_4e1099d00a881ae1,5,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,京橋信用ソリューションズ株式会社,04.分析,4873,5797,924
doc_f0b7ce29b366c297_chunk_0000,doc_f0b7ce29b366c297,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,0,1146,1146
doc_f0b7ce29b366c297_chunk_0001,doc_f0b7ce29b366c297,1,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,946,2114,1168
doc_f0b7ce29b366c297_chunk_0002,doc_f0b7ce29b366c297,2,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,1914,3073,1159
doc_f0b7ce29b366c297_chunk_0003,doc_f0b7ce29b366c297,3,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,2873,4070,1197
doc_f0b7ce29b366c297_chunk_0004,doc_f0b7ce29b366c297,4,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,3870,5068,1196
doc_f0b7ce29b366c297_chunk_0005,doc_f0b7ce29b366c297,5,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,4868,5964,1096
doc_f0b7ce29b366c297_chunk_0006,doc_f0b7ce29b366c297,6,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,03.データ,5764,6334,570
doc_2e32d4ca43675d3d_chunk_0000,doc_2e32d4ca43675d3d,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,0,1022,1022
doc_2e32d4ca43675d3d_chunk_0001,doc_2e32d4ca43675d3d,1,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,医療法人社団 恒一会 かえで総合病院,04.分析,822,1720,898
