file_name,sheet_name,max_row,max_column,preview_rows,preview_columns,non_empty_preview_cells,formula_count_preview,styled_cell_count_preview,auto_filter_ref,freeze_panes,sheet_state,truncated,document_id,relative_path,project_name,major_folder
スケジュール.xlsx,WBSタスク一覧,31,14,31,14,364,30,434,A1:N31,A2,visible,False,doc_7c3571bb7f6be181,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,02.計画
スケジュール.xlsx,マイルストーン,10,7,10,7,70,0,7,,A2,visible,False,doc_7c3571bb7f6be181,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,02.計画
スケジュール.xlsx,会議体・チェックポイント,25,7,25,7,127,0,22,,A3,visible,False,doc_7c3571bb7f6be181,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,02.計画
スケジュール.xlsx,リソース計画,24,4,24,4,68,0,16,,,visible,False,doc_7c3571bb7f6be181,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,02.計画
train.xlsx,グラフ,1,1,1,1,0,0,0,,,visible,False,doc_4dee02739805d915,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,医療法人社団 恒一会 かえで総合病院,03.データ
train.xlsx,Pivot,213,11,120,11,1069,0,0,,,visible,True,doc_4dee02739805d915,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,医療法人社団 恒一会 かえで総合病院,03.データ
train.xlsx,train,3501,12,120,12,1440,0,0,,,visible,True,doc_4dee02739805d915,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,医療法人社団 恒一会 かえで総合病院,03.データ
スケジュール.xlsx,スケジュール管理表,21,14,21,14,293,0,294,A1:N21,A2,visible,False,doc_594754de42cc0e03,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx,医療法人社団 蒼樹会 みなみ野女性医療センター,02.計画
train.xlsx,Sheet1,33,10,33,10,120,0,0,A16:I25,,visible,False,doc_05283ca2757f400e,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ
train.xlsx,train,3001,10,120,10,1200,0,0,,,visible,True,doc_05283ca2757f400e,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ
スケジュール.xlsx,WBS,26,12,26,12,297,0,235,A1:L26,A4,visible,False,doc_3e998be1dff74623,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,02.計画
スケジュール.xlsx,マイルストーン,9,7,9,7,63,0,39,,A2,visible,False,doc_3e998be1dff74623,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,02.計画
スケジュール.xlsx,リソース配分,31,7,31,7,110,0,38,,,visible,False,doc_3e998be1dff74623,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,02.計画
スケジュール.xlsx,リスク管理,26,7,26,7,70,0,20,,,visible,False,doc_3e998be1dff74623,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,02.計画
