document_id,absolute_path,relative_path,file_name,extension,size_bytes,size_kb,area,project_name,major_folder
doc_57047cb470004a44,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\01.契約\契約書.docx,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,契約書.docx,.docx,18644,18.21,プロジェクト,京橋信用ソリューションズ株式会社,01.契約
doc_ed6a50a7a6239166,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\05.会議\報告資料\報告資料_2025-10-01.docx,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-01.docx,報告資料_2025-10-01.docx,.docx,15782,15.41,プロジェクト,京橋信用ソリューションズ株式会社,05.会議
doc_f11f203bf4b53661,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\05.会議\報告資料\報告資料_2025-10-29.docx,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-29.docx,報告資料_2025-10-29.docx,.docx,16989,16.59,プロジェクト,京橋信用ソリューションズ株式会社,05.会議
doc_10022307afc15b6a,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\01.契約\契約書_pw-kaede20250902.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,契約書_pw-kaede20250902.docx,.docx,31744,31.0,プロジェクト,医療法人社団 恒一会 かえで総合病院,01.契約
doc_bf1cd90acac30eb4,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\05.会議\会議録\会議録_2025-09-02.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx,会議録_2025-09-02.docx,.docx,15621,15.25,プロジェクト,医療法人社団 恒一会 かえで総合病院,05.会議
doc_ca6168468a1994ca,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\05.会議\会議録\会議録_2025-09-16.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx,会議録_2025-09-16.docx,.docx,16880,16.48,プロジェクト,医療法人社団 恒一会 かえで総合病院,05.会議
doc_e65d3b1d6fb98ad0,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\05.会議\会議録\会議録_2025-09-30.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,会議録_2025-09-30.docx,.docx,17059,16.66,プロジェクト,医療法人社団 恒一会 かえで総合病院,05.会議
doc_b874317eefdcac21,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\05.会議\報告資料\報告資料_2025-09-02.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx,報告資料_2025-09-02.docx,.docx,16796,16.4,プロジェクト,医療法人社団 恒一会 かえで総合病院,05.会議
doc_3d671737a6647915,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\05.会議\報告資料\報告資料_2025-09-16.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,報告資料_2025-09-16.docx,.docx,16810,16.42,プロジェクト,医療法人社団 恒一会 かえで総合病院,05.会議
doc_80dfdaf9e66a75e1,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\00.提案\糖尿病統計情報.docx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,糖尿病統計情報.docx,.docx,30690,29.97,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,00.提案
doc_323689d7e461bcbf,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\01.契約\契約書.docx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx,契約書.docx,.docx,17118,16.72,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,01.契約
doc_527db8b1faf99797,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\01.契約\契約書.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx,契約書.docx,.docx,19050,18.6,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,01.契約
doc_7bdb84e0125662cf,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\05.会議\会議録\会議録_2025-07-08.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-08.docx,会議録_2025-07-08.docx,.docx,16737,16.34,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議
doc_fda8f23a0f476eb5,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\05.会議\会議録\会議録_2025-07-22.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-22.docx,会議録_2025-07-22.docx,.docx,17263,16.86,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議
doc_5949d3e457c5c26d,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\05.会議\会議録\会議録_2025-08-05.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-08-05.docx,会議録_2025-08-05.docx,.docx,18196,17.77,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議
doc_e59919d431afbd4f,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\05.会議\報告資料\報告資料_2025-07-08.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx,報告資料_2025-07-08.docx,.docx,18747,18.31,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議
doc_2e564b10712622dc,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\05.会議\報告資料\報告資料_2025-07-22.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-22.docx,報告資料_2025-07-22.docx,.docx,20029,19.56,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議
doc_6d71dbcda26d3285,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\データサイエンティスト調査.docx,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,データサイエンティスト調査.docx,.docx,1701890,1662.0,プロジェクト,株式会社東都人材プラットフォーム,00.提案
doc_fb67482abe6be63d,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\01.契約\契約書.docx,プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,契約書.docx,.docx,17902,17.48,プロジェクト,株式会社東都人材プラットフォーム,01.契約
