source_eda,relative_path,file_name,extension,project_name,major_folder,text_chars,table_count,slide_count,sheet_count,page_count,highlight_count,styled_run_count
EDA004,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,契約書.docx,.docx,京橋信用ソリューションズ株式会社,01.契約,10300,1,0,0,0,0,1
EDA004,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,糖尿病統計情報.docx,.docx,医療法人社団 蒼樹会 みなみ野女性医療センター,00.提案,12182,7,0,0,0,0,21
EDA004,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx,契約書.docx,.docx,医療法人社団 蒼樹会 みなみ野女性医療センター,01.契約,9038,1,0,0,0,0,12
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx,契約書.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,01.契約,10982,2,0,0,0,0,1
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-08.docx,会議録_2025-07-08.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議,10629,1,0,0,0,0,65
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-22.docx,会議録_2025-07-22.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議,11186,1,0,0,0,0,66
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-08-05.docx,会議録_2025-08-05.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議,13072,1,0,0,0,0,90
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx,報告資料_2025-07-08.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議,11466,9,0,0,0,0,60
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-22.docx,報告資料_2025-07-22.docx,.docx,医療法人社団 蒼泉会 ひがし丘総合病院,05.会議,17493,2,0,0,0,0,129
EDA004,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,データサイエンティスト調査.docx,.docx,株式会社東都人材プラットフォーム,00.提案,38748,3,0,0,0,0,220
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx,契約書.docx,.docx,株式会社青嶺不動産アセットマネジメント,01.契約,10383,4,0,0,0,0,1
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-06.docx,会議録_2025-08-06.docx,.docx,株式会社青嶺不動産アセットマネジメント,05.会議,7588,1,0,0,0,0,69
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-26.docx,会議録_2025-08-26.docx,.docx,株式会社青嶺不動産アセットマネジメント,05.会議,9247,1,0,0,0,0,55
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-09-16.docx,会議録_2025-09-16.docx,.docx,株式会社青嶺不動産アセットマネジメント,05.会議,8948,1,0,0,0,0,1
EDA004,プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx,契約書.docx,.docx,株式会社青潮モビリティサービス,01.契約,11035,3,0,0,0,0,3
EDA004,プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx,報告資料_2025-08-06.docx,.docx,株式会社青潮モビリティサービス,05.会議,8747,0,0,0,0,10,10
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx,契約書.docx,.docx,株式会社青葉バイオメディカル機器,01.契約,9943,1,0,0,0,0,1
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx,契約書_draft.docx,.docx,株式会社青葉バイオメディカル機器,01.契約,9949,1,0,0,0,0,1
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-06-23.docx,会議録_2025-06-23.docx,.docx,株式会社青葉バイオメディカル機器,05.会議,9492,1,0,0,0,0,45
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-11.docx,会議録_2025-07-11.docx,.docx,株式会社青葉バイオメディカル機器,05.会議,9964,1,0,0,0,0,58
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-25.docx,会議録_2025-07-25.docx,.docx,株式会社青葉バイオメディカル機器,05.会議,11965,1,0,0,0,0,63
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx,報告資料_2025-06-23.docx,.docx,株式会社青葉バイオメディカル機器,05.会議,11466,5,0,0,0,0,68
EDA004,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-07-11.docx,報告資料_2025-07-11.docx,.docx,株式会社青葉バイオメディカル機器,05.会議,14777,8,0,0,0,0,99
EDA004,プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx,契約書.docx,.docx,白峰信用リスク評価株式会社,01.契約,11370,1,0,0,0,0,18
EDA004,プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx,契約書.docx,.docx,青葉与信マネジメント株式会社,01.契約,9722,1,0,0,0,0,11
EDA004,プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,報告資料_2025-04-09.docx,.docx,青葉与信マネジメント株式会社,05.会議,8003,0,0,0,0,1,3
EDA004,プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,報告資料_2025-04-29.docx,.docx,青葉与信マネジメント株式会社,05.会議,9773,0,0,0,0,10,15
EDA004,社内管理/データアステル社内規定_パスワード導出規則.docx,データアステル社内規定_パスワード導出規則.docx,.docx,,データアステル社内規定_パスワード導出規則.docx,865,0,0,0,0,0,5
EDA004,社内管理/社内用語集.docx,社内用語集.docx,.docx,,社内用語集.docx,10893,9,0,0,0,0,9
EDA004,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,スケジュール.xlsx,.xlsx,京橋信用ソリューションズ株式会社,02.計画,18399,0,0,4,0,0,479
EDA004,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx,スケジュール.xlsx,.xlsx,医療法人社団 蒼樹会 みなみ野女性医療センター,02.計画,9177,0,0,1,0,0,294
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,スケジュール.xlsx,.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,02.計画,15630,0,0,4,0,0,332
EDA004,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx,train.xlsx,.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ,13268,0,0,3,0,0,2
EDA004,プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx,スケジュール.xlsx,.xlsx,株式会社東都人材プラットフォーム,02.計画,11735,0,0,1,0,0,275
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx,スケジュール_r1.xlsx,.xlsx,株式会社青嶺不動産アセットマネジメント,02.計画,4721,0,0,1,0,0,1
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,スケジュール_r2.xlsx,.xlsx,株式会社青嶺不動産アセットマネジメント,02.計画,10852,0,0,1,0,0,346
EDA004,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,train.xlsx,.xlsx,株式会社青嶺不動産アセットマネジメント,03.データ,57931,0,0,3,0,0,1
