source_eda,relative_path,file_name,extension,project_name,major_folder,text_chars,table_count,slide_count,sheet_count,page_count,highlight_count,styled_run_count
EDA002,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,train.csv,.csv,京橋信用ソリューションズ株式会社,03.データ,5777,0,0,0,0,0,0
EDA002,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,京橋信用ソリューションズ株式会社,04.分析,1699,0,0,0,0,0,0
EDA002,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,train.csv,.csv,京橋信用ソリューションズ株式会社,04.分析,5797,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,train.csv,.csv,医療法人社団 恒一会 かえで総合病院,03.データ,6334,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,医療法人社団 恒一会 かえで総合病院,04.分析,5568,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,train.csv,.csv,医療法人社団 恒一会 かえで総合病院,04.分析,6354,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,train.csv,.csv,医療法人社団 蒼樹会 みなみ野女性医療センター,03.データ,3586,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,5579,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,train.csv,.csv,医療法人社団 蒼樹会 みなみ野女性医療センター,04.分析,3606,0,0,0,0,0,0
EDA002,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,train.csv,.csv,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ,2809,0,0,0,0,0,0
