id,name,context_length,created
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),32768,1752094966
cohere/north-mini-code:free,Cohere: North Mini Code (free),256000,1781723748
google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free),262144,1775227989
google/gemma-4-31b-it:free,Google: Gemma 4 31B (free),262144,1775148486
liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free),32768,1768927521
liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free),32768,1768927527
meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),131072,1727222400
meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),131072,1733506137
nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),131072,1723766400
nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),256000,1765731275
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free),256000,1777393095
nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free),1000000,1773245239
nvidia/nemotron-3-ultra-550b-a55b:free,NVIDIA: Nemotron 3 Ultra (free),1000000,1780551208
nvidia/nemotron-3.5-content-safety:free,NVIDIA: Nemotron 3.5 Content Safety (free),128000,1780581864
nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),128000,1761675565
nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),128000,1757106807
openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free),131072,1754414231
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),131072,1754414229
poolside/laguna-m.1:free,Poolside: Laguna M.1 (free),262144,1777388504
poolside/laguna-xs-2.1:free,Poolside: Laguna XS 2.1 (free),262144,1783002429
poolside/laguna-xs.2:free,Poolside: Laguna XS.2 (free),262144,1777389604
qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),1048576,1753230546
qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),262144,1757612213
tencent/hy3:free,Tencent: Hy3 (free),262144,1783344048
