project,tax_jpy,method,source_path
京橋信用ソリューションズ株式会社,525000,final_or_known_contract,data\processed\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\06.報告書\京橋信用ソリューションズ株式会社_最終報告.pptx.md
医療法人社団 恒一会 かえで総合病院,350000,final_report,data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\06.報告書\医療法人社団 恒一会 かえで総合病院_最終報告.pptx.md
医療法人社団 蒼樹会 みなみ野女性医療センター,360000,contract_fallback,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md
医療法人社団 蒼泉会 ひがし丘総合病院,425000,final_report,data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\06.報告書\医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf.md
株式会社東都人材プラットフォーム,425000,final_report,data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\06.報告書\株式会社東都人材プラットフォーム_最終報告.pptx.md
株式会社青嶺不動産アセットマネジメント,461250,final_report,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\06.報告書\株式会社青嶺不動産アセットマネジメント_最終報告.pptx.md
株式会社青潮モビリティサービス,425000,contract_fallback,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md
株式会社青葉バイオメディカル機器,313000,final_report,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\06.報告書\株式会社青葉バイオメディカル機器_最終報告.pptx.md
白峰信用リスク評価株式会社,680000,contract_fallback,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md
青葉与信マネジメント株式会社,420000,contract_fallback,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.md
