image_path,suffix,bytes,width,height,mode,priority_score
data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.assets/slide001_shape001.png,.png,1688123,1376,768,RGBA,70
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output001.png,.png,101892,1183,584,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output001.png,.png,85684,1784,784,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output003.png,.png,48723,1183,1183,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output001.png,.png,38403,1106,984,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output001.png,.png,28786,984,584,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output003.png,.png,22966,984,584,RGBA,37
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx.assets/slide006_shape003.png,.png,81872,1857,963,RGBA,10
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,147453,981,2384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output002.png,.png,123336,1783,982,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell012_output002.png,.png,123336,1783,982,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,102786,1582,784,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,92544,862,784,RGBA,2
