project,source_path,row_index,task_ids,checkpoint_ids,text
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,9,T08 | T09 | T10,CP2,"T10 EDAレビュー・論点整理 EDA結果の確認と論点一覧作成 佐藤 健一 / 鈴木 美咲 2025-10-13 2025-10-14 =H11-G11+1 T08,T09 EDA論点一覧 完了 ● MS2関連 CP2: EDA論点確定確認"
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,14,T13 | T14 | T15,CP3,"T15 ベースライン評価レビュー QA観点でのベースライン結果レビュー 池田 恒一 2025-10-21 2025-10-21 =H16-G16+1 T13,T14 QAレビュー記録 完了 ● MS3関連 CP3: ベースライン評価妥当性確認"
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,19,T19 | T20,CP4,"T20 5.0 中間報告・変更管理判定 中間報告会実施 EDA、前処理方針、比較モデル、評価軸、監査観点を報告 佐藤 健一 / 高橋 恒一 2025-10-29 2025-10-29 =H21-G21+1 T19 中間報告議事録、承認事項一覧 完了 ● MS4関連 CP4 出席: 高橋,佐藤,鈴木,井上,池田"
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,20,T20 | T21,CP5,T21 変更管理チェックポイント実施 スコープ内継続可否、追加要求有無、最終報告反映範囲を確定 佐藤 健一 / 高橋 恒一 2025-10-30 2025-10-30 =H22-G22+1 T20 変更要求判定記録 完了 ● MS5関連 CP5 変更管理判定
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,25,T24 | T25 | T26,CP6,"T26 品質保証レビュー・リスクバッファ QA指摘反映、図表差替え、数値整合確認、軽微な再分析 池田 恒一 2025-11-08 2025-11-10 =H27-G27+1 T24,T25 QAレビュー結果、修正版成果物 完了 ● CP6: 最終QA完了確認 リスクバッファ期間"
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,26,T26 | T27,CP7,"T27 最終報告・成果物提出・検収会 最終報告書、補足資料、再現性管理情報を提出し説明完了 佐藤 健一 / 高橋 恒一 2025-11-11 2025-11-11 =H28-G28+1 T26 最終報告議事録、納品記録 完了 ● MS6関連 CP7 出席: 高橋,山田,佐藤,鈴木,池田"
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,27,T27 | T28,CP8,T28 7.0 検収後支払・クローズ処理 検収結果反映 検収結果を記録、是正要否または受入完了を確定 佐藤 健一 2025-11-12 2025-11-12 =H29-G29+1 T27 検収記録 完了 MS7関連 CP8
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/マイルストーン.csv,4,T21,,MS5 変更管理判定完了 2025-10-30 変更管理チェックポイント スコープ内継続可否、追加要求有無、最終報告反映範囲を確定 T21 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,13,,CP6,第6回 2025-11-10 00:00:00 10:00:00 QA完了確認、最終報告準備状況 - CP6: 最終QA完了確認
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,15,,,■ チェックポイント(CP)
