project,source_path,contract_type,contract_amount_tax_in,contract_amount_tax_ex,upfront_amount,is_medical,text_preview
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx.md,fixed_price,5775000,5250000,2625000.0,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx` - source_sha1: `a27873ce4bb2d95acdee47c34ea50328e1541c5a` - paragraph_count: 125 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 京橋信用ソリューションズ株式会社(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、定期預金などの契約有無予測と説明可能な顧客セグメンテーションに関するデータ分析業務について、以下のとおり業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、いずれも2025-10-01とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:京橋信用ソリューションズ株式会社 <!-- block_index=7 type=paragraph style=Compact --> 部署名:リスク管理部 与信モデル統括課 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:高橋 恒一(課長) <!-- block_index=9 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=10 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=11 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=12 type=paragraph style=Heading 3 --> ### 1.3 本件担当体制 <!-- block_inde
医療法人社団 恒一会 かえで総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.md,time_and_materials,3850000,3500000,,True,# Word Markdown: 契約書_pw解除版.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx` - source_sha1: `b4024787710f3f25a2d1ac7a5396d6437aeefed2` - paragraph_count: 114 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 医療法人社団 恒一会 かえで総合病院(以下「甲」という。)と、株式会社データアステル(以下「乙」という。)は、肝疾患有無予測分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、**2025-09-02**とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 法人名:医療法人社団 恒一会 かえで総合病院 <!-- block_index=7 type=paragraph style=Compact --> 部署名:医療情報分析室 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:柴田 海斗 <!-- block_index=9 type=paragraph style=Compact --> 役職:室長 <!-- block_index=10 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=11 type=paragraph style=Compact --> 法人名:株式会社データアステル <!-- block_index=12 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=13 type=paragraph style=
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md,fixed_price,3960000,3600000,,True,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx` - source_sha1: `52667867bdad9334e58a2aae451bede10b0e7311` - paragraph_count: 118 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 本契約は、2025-04-03付で、以下の当事者間において締結される。 <!-- block_index=3 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=4 type=paragraph style=First Paragraph --> **委託者(以下「甲」という。)** 医療法人社団 蒼樹会 みなみ野女性医療センター 部署:医療情報・品質改善推進室 主担当者:林 さくら 室長 <!-- block_index=5 type=paragraph style=Body Text --> **受託者(以下「乙」という。)** 株式会社データアステル 部署:データサイエンス部 <!-- block_index=6 type=paragraph style=Body Text --> 甲および乙は、糖尿病判定データ分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=7 type=paragraph style=Heading 2 --> ## 2. 目的 <!-- block_index=8 type=paragraph style=First Paragraph --> 本契約は、乙が甲に対し、data\train.csv を用いて、目的変数 **Outcome**(糖尿病であるか:1、でないか:0)の予測可能性を検証し、医療品質改善および患者アウトカム改善に資する分析基盤を整備するためのデータ分析業務を提供することを目的とする。 <!-- block_index=9 type=paragraph style=Body Text --> 本業務の目的は、次の各号のとおりとする。 <!-- block_index=10 type=paragraph style=Compact --> Outco
医療法人社団 蒼泉会 ひがし丘総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx.md,time_and_materials,4675000,4250000,,True,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx` - source_sha1: `19670cc88b35215dd766cdc08e83ddc801871325` - paragraph_count: 140 - table_count: 2 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 医療法人社団 蒼泉会 ひがし丘総合病院(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、医療費関連の価格帯分類と要因分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、いずれも2025-07-08とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 名称:医療法人社団 蒼泉会 ひがし丘総合病院 <!-- block_index=7 type=paragraph style=Compact --> 主管部署:医療情報部 データ戦略推進課 <!-- block_index=8 type=paragraph style=Compact --> 主担当:宮本 恒一 課長 <!-- block_index=9 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=10 type=paragraph style=Compact --> 名称:株式会社データアステル <!-- block_index=11 type=paragraph style=Compact --> 部署:データサイエンス部 <!-- block_index=12 type=paragraph style=Heading 3 --> ### 1.3 乙の実施体制 <!-- block_index=13 type=p
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx.md,time_and_materials,4675000,4250000,,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx` - source_sha1: `f13fe2b719851b2b5605d6258b2ffc4f73efb0d2` - paragraph_count: 123 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 株式会社東都人材プラットフォーム(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、甲が乙に委託するデータ分析業務に関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=4 type=paragraph style=Heading 3 --> ### (1)甲 <!-- block_index=5 type=paragraph style=Compact --> 会社名:株式会社東都人材プラットフォーム <!-- block_index=6 type=paragraph style=Compact --> 部署名:人事戦略部 人材データ活用室 <!-- block_index=7 type=paragraph style=Compact --> 主担当者:石川 直樹 <!-- block_index=8 type=paragraph style=Compact --> 役職:人事戦略部長 <!-- block_index=9 type=paragraph style=Heading 3 --> ### (2)乙 <!-- block_index=10 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=11 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=12 type=paragraph style=Heading 2 --> ## 2. 目的 <!-- block_index=13 type=paragraph style=First Paragraph --> 本契約は、甲が保有し提供する da
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx.md,time_and_materials,4675000,4250000,,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx` - source_sha1: `ce60d3f5e82c273a1f89c229d3f640b881a5034e` - paragraph_count: 127 - table_count: 4 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 株式会社青嶺不動産アセットマネジメント(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、不動産売買価格分析 初期診断プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日兼効力発生日は、2025-08-06とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:株式会社青嶺不動産アセットマネジメント <!-- block_index=7 type=paragraph style=Compact --> 部署名:資産運用本部 レジデンシャル戦略部 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:前田 美咲(部長) <!-- block_index=9 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=10 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=11 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=12 type=paragraph style=Heading 3 --> ### 1.3 実施体制 <!-- block_index=13 type=para
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md,time_and_materials,4675000,4250000,,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx` - source_sha1: `a8c11a4d30270108a751915d9d9a4482ef798666` - paragraph_count: 150 - table_count: 3 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 株式会社青潮モビリティサービス(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、モビリティ需要予測分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日兼効力発生日は、2025-07-23とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:株式会社青潮モビリティサービス <!-- block_index=7 type=paragraph style=Compact --> 部署名:事業企画本部 オペレーション戦略部 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:高山 拓海 <!-- block_index=9 type=paragraph style=Compact --> 役職:部長 <!-- block_index=10 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=11 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=12 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=13 type=paragraph style=Heading 3 --> ##
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md,time_and_materials,3740000,3400000,,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx` - source_sha1: `16ff99af71485e8bb4c22af30e72c762438836ab` - paragraph_count: 141 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 株式会社青葉バイオメディカル機器(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、離職要因分析・離職リスク検知 初期分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、2025-06-23とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### (1)甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:株式会社青葉バイオメディカル機器 <!-- block_index=7 type=paragraph style=Compact --> 部署名:人事本部 人材戦略部 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:山田 太一 <!-- block_index=9 type=paragraph style=Compact --> 役職:人材戦略部長 <!-- block_index=10 type=paragraph style=Heading 3 --> ### (2)乙 <!-- block_index=11 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=12 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=13 type=paragraph style=Compact 
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.md,time_and_materials,3740000,3400000,,False,# Word Markdown: 契約書_draft.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx` - source_sha1: `16ff99af71485e8bb4c22af30e72c762438836ab` - paragraph_count: 141 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 株式会社青葉バイオメディカル機器(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、離職要因分析・離職リスク検知 初期分析プロジェクトに関し、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、2025-06-23とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### (1)甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:株式会社青葉バイオメディカル機器 <!-- block_index=7 type=paragraph style=Compact --> 部署名:人事本部 人材戦略部 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:山田 太一 <!-- block_index=9 type=paragraph style=Compact --> 役職:人材戦略部長 <!-- block_index=10 type=paragraph style=Heading 3 --> ### (2)乙 <!-- block_index=11 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=12 type=paragraph style=Compact --> 部署名:データサイエンス部 <!-- block_index=13 type=paragraph st
白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md,fixed_price,7480000,6800000,2720000.0,False,# Word Markdown: 契約書.docx ## Source - raw_path: `share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx` - source_sha1: `511ae4443d8875c08a99d597baeecceb8eb0584d` - paragraph_count: 148 - table_count: 1 - image_count: 0 ## Body <!-- block_index=1 type=paragraph style=Heading 1 --> ## データ分析業務委託契約書 <!-- block_index=2 type=paragraph style=First Paragraph --> 白峰信用リスク評価株式会社(以下「甲」という。)と株式会社データアステル(以下「乙」という。)は、企業財務指標に基づく3年後倒産予測モデルの企画・分析・初期実装方針策定に関する業務委託について、以下のとおりデータ分析業務委託契約(以下「本契約」という。)を締結する。 <!-- block_index=3 type=paragraph style=Body Text --> 本契約の締結日および効力発生日は、いずれも **2025-05-13** とする。 <!-- block_index=4 type=paragraph style=Heading 2 --> ## 1. 当事者 <!-- block_index=5 type=paragraph style=Heading 3 --> ### 1.1 甲 <!-- block_index=6 type=paragraph style=Compact --> 会社名:白峰信用リスク評価株式会社 <!-- block_index=7 type=paragraph style=Compact --> 部門名:審査企画部 <!-- block_index=8 type=paragraph style=Compact --> 主担当者:松原 恒一(部長) <!-- block_index=9 type=paragraph style=Heading 3 --> ### 1.2 乙 <!-- block_index=10 type=paragraph style=Compact --> 会社名:株式会社データアステル <!-- block_index=11 type=paragraph style=Compact --> 部門名:データサイエンス部 <!-- block_index=12 type=paragraph style=Heading 3 --> ### 1.3 乙の実施体制 <!-- block_index=13 t
