raw_pdf_path,page,page_total,image_path,width,height,bytes,project,source_path,file_name,target_reason,model,status,finish_reason,success,search_text,record_json,raw_response_path
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,1,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page001.png,1588,2246,922186,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,,False,,{},EDA/EDA052/raw_responses/page_001.json
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,2,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page002.png,1588,2246,1136633,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,error,True,"{ ""meeting_id"": """", ""date"": ""2025-07-22"", ""page_title"": ""最終受入の議論とアクションアイテム"", ""progress_summary"": ""完了(今回まで)"", ""action_items"": [ { ""action_id"": ""A10"", ""content"": ""着手金の支払確認を会議前に完了報告(AI-05 終了扱い)。検収金は最終検収後(検収期日:2025-07-22想定)に請求・確認を行う。"", ""owner"": ""着手金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A14"", ""content"": ""検収金に必要な納品物と検証項目を確定(詳細はアクション AI-14 にて納品物一覧とチェックリストを提示)。必須検証項目:ROC-AUC、Recall(運用閾値)、Precision@top10%、Brier score、SHAP 寄与、前処理仕様、実行再現手順、監査ログ。承認:出席者一同。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A15"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-15 にて検収後請求)。検収金要求・支払確認:AI-15(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A16"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-16 にて検収後請求)。検収金要求・支払確認:AI-16(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A17"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-17 にて検収後請求)。検収金要求・支払確認:AI-17(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A18"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-18 にて検収後請求)。検収金要求・支払確認:AI-18(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A19"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-19 にて検収後請求)。検収金要求・支払確認:AI-19(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id"": ""A20"", ""content"": ""最終モデルの検証と検収を確定(詳細はアクション AI-20 にて検収後請求)。検収金要求・支払確認:AI-20(予定どおり検収後請求)。"", ""owner"": ""検収金担当"", ""due"": ""2025-07-22"", ""status"": ""完了"" }, { ""action_id","{""visible_text"": ""{\n  \""meeting_id\"": \""\"",\n  \""date\"": \""2025-07-22\"",\n  \""page_title\"": \""最終受入の議論とアクションアイテム\"",\n  \""progress_summary\"": \""完了(今回まで)\"",\n  \""action_items\"": [\n    {\n      \""action_id\"": \""A10\"",\n      \""content\"": \""着手金の支払確認を会議前に完了報告(AI-05 終了扱い)。検収金は最終検収後(検収期日:2025-07-22想定)に請求・確認を行う。\"",\n      \""owner\"": \""着手金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A14\"",\n      \""content\"": \""検収金に必要な納品物と検証項目を確定(詳細はアクション AI-14 にて納品物一覧とチェックリストを提示)。必須検証項目:ROC-AUC、Recall(運用閾値)、Precision@top10%、Brier score、SHAP 寄与、前処理仕様、実行再現手順、監査ログ。承認:出席者一同。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A15\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-15 にて検収後請求)。検収金要求・支払確認:AI-15(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A16\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-16 にて検収後請求)。検収金要求・支払確認:AI-16(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A17\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-17 にて検収後請求)。検収金要求・支払確認:AI-17(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A18\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-18 にて検収後請求)。検収金要求・支払確認:AI-18(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A19\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-19 にて検収後請求)。検収金要求・支払確認:AI-19(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id\"": \""A20\"",\n      \""content\"": \""最終モデルの検証と検収を確定(詳細はアクション AI-20 にて検収後請求)。検収金要求・支払確認:AI-20(予定どおり検収後請求)。\"",\n      \""owner\"": \""検収金担当\"",\n      \""due\"": \""2025-07-22\"",\n      \""status\"": \""完了\""\n    },\n    {\n      \""action_id""}",EDA/EDA052/raw_responses/page_002.json
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,3,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page003.png,1588,2246,886509,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,,False,,{},EDA/EDA052/raw_responses/page_003.json
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,4,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page004.png,1588,2246,1053091,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,stop,True,"クロージング クローズ判断 {""action_id"": ""A10"", ""content"": ""本会議にて「最終モデル候補(GBM を主、ロジスティックを参照)」および「検収観点・リスクセグメント」を合意。最終報告書を Single Source of Truth として提出し、別途 AI-14 により最終成果物一式を納品後、甲の検収プロセスにて正式クローズ判定を行う。"", ""owner"": ""会議"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A11"", ""content"": ""引き継ぎ状況(ハンドオーバー)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A12"", ""content"": ""本番移行は別フェーズとし、要件定義と見積は甲・乙で調整(AI-16)。"", ""owner"": ""甲・乙"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A13"", ""content"": ""検収・納品確認および支払照会: 株式会社データアステル PM 伊藤 翔太(窓口)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A14"", ""content"": ""技術間合せ/モデル説明: 株式会社データアステル リードデータサイエンティスト 山本 彩乃"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A15"", ""content"": ""業務運用・承認: 白峰信用リスク評価株式会社 審査企画部 松原 恒一 部長"", ""owner"": ""白峰信用リスク評価株式会社"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A16"", ""content"": ""追加要件・本番移行協議: 株式会社データアステル エグゼクティブスポンサー 中村 誠(調整窓口)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A17"", ""content"": ""クローズ条件(今後の手順)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A18"", ""content"": ""AI-14 による最終成果物の納品(2025-07-18 予定)。"", ""owner"": ""AI-14"", ""due"": ""2025-07-18"", ""status"": ""予定""} {""action_id"": ""A19"", ""content"": ""甲による検収(検収基準は本会議で合意した検収観点に従う)。"", ""owner"": ""甲"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A20"", ""content"": ""検収完了後、乙が請求書発行 → 甲支払(期日 2025-07-22 想定)。"", ""owner"": ""甲・乙"", ""due"": ""2025-07-22"", ""status"": ""予定""} {""action_id"": ""A21"", ""content"": ""検収完了をもって本プロジェクトを正式クローズ。ただし本番移行は別契約として扱う。"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""} {""action_id"": ""A22"", ""content"": ""(議事録作成: 株式会社データアステル)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""} 本番移行は別フェーズとして扱う。 検収完了後、乙が請求書発行 → 甲支払(期日 2025-07-22 想定)。 検収完了をもって本プロジェクトを正式クローズ。ただし本番移行は別契約として扱う。 本会議にて「最終モデル候補(GBM を主、ロジスティックを参照)」および「検収観点・リスクセグメント」を合意。最終報告書を Single Source of Truth として提出し、別途 AI-14 により最終成果物一式を納品後、甲の検収プロセスにて正式クローズ判定を行う。引き継ぎ状況(ハンドオーバー)本番移行は別フェーズとし、要件定義と見積は甲・乙で調整(AI-16)。検収・納品確認および支払照会: 株式会社データアステル PM 伊藤 翔太(窓口)技術間合せ/モデル説明: 株式会社データアステル リードデータ","{""meeting_id"": """", ""date"": """", ""page_title"": ""クロージング クローズ判断"", ""progress_summary"": """", ""action_items"": [{""action_id"": ""A10"", ""content"": ""本会議にて「最終モデル候補(GBM を主、ロジスティックを参照)」および「検収観点・リスクセグメント」を合意。最終報告書を Single Source of Truth として提出し、別途 AI-14 により最終成果物一式を納品後、甲の検収プロセスにて正式クローズ判定を行う。"", ""owner"": ""会議"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A11"", ""content"": ""引き継ぎ状況(ハンドオーバー)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A12"", ""content"": ""本番移行は別フェーズとし、要件定義と見積は甲・乙で調整(AI-16)。"", ""owner"": ""甲・乙"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A13"", ""content"": ""検収・納品確認および支払照会: 株式会社データアステル PM 伊藤 翔太(窓口)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A14"", ""content"": ""技術間合せ/モデル説明: 株式会社データアステル リードデータサイエンティスト 山本 彩乃"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A15"", ""content"": ""業務運用・承認: 白峰信用リスク評価株式会社 審査企画部 松原 恒一 部長"", ""owner"": ""白峰信用リスク評価株式会社"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A16"", ""content"": ""追加要件・本番移行協議: 株式会社データアステル エグゼクティブスポンサー 中村 誠(調整窓口)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A17"", ""content"": ""クローズ条件(今後の手順)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A18"", ""content"": ""AI-14 による最終成果物の納品(2025-07-18 予定)。"", ""owner"": ""AI-14"", ""due"": ""2025-07-18"", ""status"": ""予定""}, {""action_id"": ""A19"", ""content"": ""甲による検収(検収基準は本会議で合意した検収観点に従う)。"", ""owner"": ""甲"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A20"", ""content"": ""検収完了後、乙が請求書発行 → 甲支払(期日 2025-07-22 想定)。"", ""owner"": ""甲・乙"", ""due"": ""2025-07-22"", ""status"": ""予定""}, {""action_id"": ""A21"", ""content"": ""検収完了をもって本プロジェクトを正式クローズ。ただし本番移行は別契約として扱う。"", ""owner"": ""関係者"", ""due"": """", ""status"": ""進行中""}, {""action_id"": ""A22"", ""content"": ""(議事録作成: 株式会社データアステル)"", ""owner"": ""株式会社データアステル"", ""due"": """", ""status"": ""進行中""}], ""comments"": [""本番移行は別フェーズとして扱う。"", ""検収完了後、乙が請求書発行 → 甲支払(期日 2025-07-22 想定)。"", ""検収完了をもって本プロジェクトを正式クローズ。ただし本番移行は別契約として扱う。""], ""checkpoints"": [], ""visible_text"": ""本会議にて「最終モデル候補(GBM を主、ロジスティックを参照)」および「検収観点・リスクセグメント」を合意。最終報告書を Single Source of Truth として提出し、別途 AI-14 により最終成果物一式を納品後、甲の検収プロセスにて正式クローズ判定を行う。引き継ぎ状況(ハンドオーバー)本番移行は別フェーズとし、要件定義と見積は甲・乙で調整(AI-16)。検収・納品確認および支払照会: 株式会社データアステル PM 伊藤 翔太(窓口)技術間合せ/モデル説明: 株式会社データアステル リードデータサイエンティスト 山本 彩乃業務運用・承認: 白峰信用リスク評価株式会社 審査企画部 松原 恒一 部長追加要件・本番移行協議: 株式会社データアステル エグゼクティブスポンサー 中村 誠(調整窓口)クローズ条件(今後の手順)AI-14 による最終成果物の納品(2025-07-18 予定)。甲による検収(検収基準は本会議で合意した検収観点に従う)。検収完了後、乙が請求書発行 → 甲支払(期日 2025-07-22 想定)。検収完了をもって本プロジェクトを正式クローズ。ただし本番移行は別契約として扱う。""}",EDA/EDA052/raw_responses/page_004.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,1,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page001.png,882,1141,337685,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,,False,,{},EDA/EDA052/raw_responses/page_005.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,2,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page002.png,882,1141,398216,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,stop,True,"進捗サマリ 本日対応済:最終報告書提出・説明(本会)および成果物配布(artifacts/analysis_outputs等)を実施。QAレビュー(池田)による主要数値整合の最終確認を実施(主要指標は成果物と一致)。進捗ステータス:最終成果物提出済(検収待ち)。主要開発タスクは完了。残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。主要完了済アクション:A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)を完了報告。 {""action_id"": ""A01"", ""content"": ""最終報告書提出・説明(本会)"", ""owner"": ""本会"", ""due"": """", ""status"": ""完了""} {""action_id"": ""A02"", ""content"": ""成果物配布(artifacts/analysis_outputs等)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""完了""} {""action_id"": ""A03"", ""content"": ""QAレビューによる主要数値整合の最終確認"", ""owner"": ""池田"", ""due"": """", ""status"": ""完了""} {""action_id"": ""A10"", ""content"": ""index再実験の結果反映"", ""owner"": ""クライアント側"", ""due"": """", ""status"": ""待ち""} {""action_id"": ""A11"", ""content"": ""主要開発タスクの完了"", ""owner"": ""開発チーム"", ""due"": """", ""status"": ""完了""} {""action_id"": ""A12"", ""content"": ""A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)の完了報告"", ""owner"": ""関係者"", ""due"": """", ""status"": ""完了""} 残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。 index再実験の結果反映 主要開発タスクの完了 本日対応済:最終報告書提出・説明(本会)および成果物配布(artifacts/analysis_outputs等)を実施。QAレビュー(池田)による主要数値整合の最終確認を実施(主要指標は成果物と一致)。進捗ステータス:最終成果物提出済(検収待ち)。主要開発タスクは完了。残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。主要完了済アクション:A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)を完了報告。","{""meeting_id"": """", ""date"": """", ""page_title"": ""進捗サマリ"", ""progress_summary"": ""本日対応済:最終報告書提出・説明(本会)および成果物配布(artifacts/analysis_outputs等)を実施。QAレビュー(池田)による主要数値整合の最終確認を実施(主要指標は成果物と一致)。進捗ステータス:最終成果物提出済(検収待ち)。主要開発タスクは完了。残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。主要完了済アクション:A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)を完了報告。"", ""action_items"": [{""action_id"": ""A01"", ""content"": ""最終報告書提出・説明(本会)"", ""owner"": ""本会"", ""due"": """", ""status"": ""完了""}, {""action_id"": ""A02"", ""content"": ""成果物配布(artifacts/analysis_outputs等)"", ""owner"": ""関係者"", ""due"": """", ""status"": ""完了""}, {""action_id"": ""A03"", ""content"": ""QAレビューによる主要数値整合の最終確認"", ""owner"": ""池田"", ""due"": """", ""status"": ""完了""}, {""action_id"": ""A10"", ""content"": ""index再実験の結果反映"", ""owner"": ""クライアント側"", ""due"": """", ""status"": ""待ち""}, {""action_id"": ""A11"", ""content"": ""主要開発タスクの完了"", ""owner"": ""開発チーム"", ""due"": """", ""status"": ""完了""}, {""action_id"": ""A12"", ""content"": ""A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)の完了報告"", ""owner"": ""関係者"", ""due"": """", ""status"": ""完了""}], ""comments"": [""残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。""], ""checkpoints"": [""index再実験の結果反映"", ""主要開発タスクの完了""], ""visible_text"": ""本日対応済:最終報告書提出・説明(本会)および成果物配布(artifacts/analysis_outputs等)を実施。QAレビュー(池田)による主要数値整合の最終確認を実施(主要指標は成果物と一致)。進捗ステータス:最終成果物提出済(検収待ち)。主要開発タスクは完了。残件はクライアント側の意思決定(0値扱い)とindex再実験の結果反映。主要完了済アクション:A01/A02/A03(中間段階で完了)およびA10/A11/A12(前処理実装・モデル再実行・業務論点ドラフト)を完了報告。""}",EDA/EDA052/raw_responses/page_006.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,3,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page003.png,882,1141,304230,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_502,,False,,{},EDA/EDA052/raw_responses/page_007.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,4,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page004.png,882,1141,221238,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,,False,,{},EDA/EDA052/raw_responses/page_008.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,5,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page005.png,882,1141,338344,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,,False,,{},EDA/EDA052/raw_responses/page_009.json
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,6,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page006.png,882,1141,360144,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補,nvidia/nemotron-nano-12b-v2-vl:free,http_200,stop,True,"2025-05-15 クロージング 最終成果物の提出と検収手続きの進捗状況 {""action_id"": ""A14"", ""content"": ""QAレビューの再実施"", ""owner"": ""池田"", ""due"": ""2025-05-30"", ""status"": ""進行中""} {""action_id"": ""A13"", ""content"": ""検収判断の最終決定"", ""owner"": ""クライアント側"", ""due"": ""2025-05-22"", ""status"": ""完了""} {""action_id"": ""A15"", ""content"": ""検収対応方針の書面化"", ""owner"": ""伊藤翔太"", ""due"": ""2025-05-30"", ""status"": ""進行中""} {""action_id"": ""A16"", ""content"": ""検収判断の通知"", ""owner"": ""金木美咲"", ""due"": ""2025-05-22"", ""status"": ""完了""} QAレビューの再実施は、池田が担当し、2025年5月30日までに完了する予定です。 検収判断の最終決定は、2025年5月22日に完了しました。 検収対応方針の書面化は、伊藤翔太が担当し、2025年5月30日までに完了する予定です。 A14: QAレビューの再実施 A13: 検収判断の最終決定 A15: 検収対応方針の書面化 QAレビューの再実施、検収判断の最終決定、検収対応方針の書面化、検収判断の通知","{""meeting_id"": """", ""date"": ""2025-05-15"", ""page_title"": ""クロージング"", ""progress_summary"": ""最終成果物の提出と検収手続きの進捗状況"", ""action_items"": [{""action_id"": ""A14"", ""content"": ""QAレビューの再実施"", ""owner"": ""池田"", ""due"": ""2025-05-30"", ""status"": ""進行中""}, {""action_id"": ""A13"", ""content"": ""検収判断の最終決定"", ""owner"": ""クライアント側"", ""due"": ""2025-05-22"", ""status"": ""完了""}, {""action_id"": ""A15"", ""content"": ""検収対応方針の書面化"", ""owner"": ""伊藤翔太"", ""due"": ""2025-05-30"", ""status"": ""進行中""}, {""action_id"": ""A16"", ""content"": ""検収判断の通知"", ""owner"": ""金木美咲"", ""due"": ""2025-05-22"", ""status"": ""完了""}], ""comments"": [""QAレビューの再実施は、池田が担当し、2025年5月30日までに完了する予定です。"", ""検収判断の最終決定は、2025年5月22日に完了しました。"", ""検収対応方針の書面化は、伊藤翔太が担当し、2025年5月30日までに完了する予定です。""], ""checkpoints"": [""A14: QAレビューの再実施"", ""A13: 検収判断の最終決定"", ""A15: 検収対応方針の書面化""], ""visible_text"": ""QAレビューの再実施、検収判断の最終決定、検収対応方針の書面化、検収判断の通知""}",EDA/EDA052/raw_responses/page_010.json
