index,route,candidate_answer,evidence,source_paths,confidence,needs_review,llm_answer,adopted_answer,adopted
33,chart_value_extraction,,,[],none,True,,,False
38,cross_project_contract_aggregation,,APR-M3相当の本部長承認案件なし,['EDA/EDA051/tables/project_master_aggregation.csv'],none,True,,,False
46,contract_alias_contact_lookup,,"max_upfront_project=白峰信用リスク評価株式会社, upfront=2720000.0 project,role,name,source_path 白峰信用リスク評価株式会社,エグゼクティブスポンサー,中村 誠,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md source,pod,ext,name,role,x_order,y_order,image_position,nearby","['EDA/EDA051/tables/project_master_aggregation.csv', 'EDA/EDA051/tables/role_assignment_inventory.csv', 'EDA/EDA049/tables/seat_coordinate_table.csv']",none,True,,,False
49,meeting_comment_extraction,,,"['data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx.structure.json', 'data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-08.docx.structure.json', 'data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-26.docx.structure.json']",none,True,,,False
52,proposal_operation_clause_lookup,"[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:25]

提出元
株式会社データアステル
データサイエンス部


[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:150]
4

運用と再現性の両立
患者アウトカム改善に資する示唆と、現場運用に耐える再現性ある手順整備の両立が必要である


[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:151]

運用と再現性の両立
患者アウトカム改善に資する示唆と、現場運用に耐える再現性ある手順整備の両立が必要である

5

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:177]

活用可否の判断基盤
今後の業務活用可否を判断できる水準で、分析精度・解釈性・運用上の留意点を整理する

PoC/分析初期フェーズ重視観点

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:194]
陽性率は約23.9%であるため、Accuracyのみではなく、RecallとROC-AUCを重視しつつ、業務負荷を踏まえてPrecisionも併記して評価する。

精度確認 × 解釈性 × 運用性 の3軸で業務活用可否を判断

5

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:215]
対象外(Out-of-Scope)

本番システム実装、API化、運用監視設計
電子カルテ等の他システムとの接続開発
新規データ取得、追加調査の大幅拡張

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:272]
業務活用の可否判断材料
リスク評価候補者抽出の初期ルール案
運用上の留意点
データ品質改善の示唆
次フェーズで必要な検証事項

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:292]
ベンダー体制

株式会社データアステル
データサイエンス部


[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:29]
<!-- block_index=5 type=paragraph style=Body Text -->
**受託者(以下「乙」という。)**
株式会社データアステル
部署:データサイエンス部


[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:53]

<!-- block_index=12 type=paragraph style=Compact -->
今後の業務活用可否を判断できる水準で、分析精度、解釈性および運用上の留意点を整理すること

<!-- block_index=13 type=paragraph style=First Paragraph -->

[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:117]

<!-- block_index=30 type=paragraph style=Compact -->
本番システム実装、API化、運用監視設計



[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:414]

<!-- block_index=113 type=paragraph style=First Paragraph -->
株式会社データアステル
データサイエンス部",[data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:25] 提出元 株式会社データアステル データサイエンス部 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:150] 4 運用と再現性の両立 患者アウトカム改善に資する示唆と、現場運用に耐える再現性ある手順整備の両立が必要である [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:151] 運用と再現性の両立 患者アウトカム改善に資する示唆と、現場運用に耐える再現性ある手順整備の両立が必要である 5 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:177] 活用可否の判断基盤 今後の業務活用可否を判断できる水準で、分析精度・解釈性・運用上の留意点を整理する PoC/分析初期フェーズ重視観点 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:194] 陽性率は約23.9%であるため、Accuracyのみではなく、RecallとROC-AUCを重視しつつ、業務負荷を踏まえてPrecisionも併記して評価する。 精度確認 × 解釈性 × 運用性 の3軸で業務活用可否を判断 5 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:215] 対象外(Out-of-Scope) 本番システム実装、API化、運用監視設計 電子カルテ等の他システムとの接続開発 新規データ取得、追加調査の大幅拡張 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:272] 業務活用の可否判断材料 リスク評価候補者抽出の初期ルール案 運用上の留意点 データ品質改善の示唆 次フェーズで必要な検証事項 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md:292] ベンダー体制 株式会社データアステル データサイエンス部 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:29] <!-- block_index=5 type=paragraph style=Body Text --> **受託者(以下「乙」という。)** 株式会社データアステル 部署:データサイエンス部 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:53] <!-- block_index=12 type=paragraph style=Compact --> 今後の業務活用可否を判断できる水準で、分析精度、解釈性および運用上の留意点を整理すること <!-- block_index=13 type=paragraph style=First Paragraph --> [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:117] <!-- block_index=30 type=paragraph style=Compact --> 本番システム実装、API化、運用監視設計 [data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md:414] <!-- block_index=113 type=paragraph style=First Paragraph --> 株式会社データアステル データサイエンス部,"['data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md', 'data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md']",medium,False,,,False
62,model_comparison_setting_diff,"[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:72]

0.6027

F1 (macro)

0.1581


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:84]

全体結論

上位リスク群に不良が集約される傾向を確認(precision@top10% ≈ 0.49)。実用に資するリスク区分の提示が可能。
ただし、interest_rate / grade の運用時点での利用可否、および時系列検証の不足により、本番利用には追加確認・外部検証・運用設計が必須である。



[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:185]
示唆整理
最終報告書作成

再現性・監査証跡: 実行設定(run_summary.json)と出力(metrics.json)を保存。前処理・モデルパラメータ・評価条件を文書化。版管理・議事録で意思決定をトレース。

Step 4


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:203]

実務インパクトの見積り

上位10%スコア群における不良含有率が高く、スコアに基づくバケット化でリスク区分の初期運用設計(重点審査・与信条件変更の検討等)が可能である。

#### Table


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:220]
| --- | --- |
| ROC-AUC | 0.7127 |
| Accuracy | 0.7780 |
| F1 (macro) | 0.6027 |
| Brier Score | 0.1581 |
| precision@top10% | 0.4886 |


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:227]

### Slide 6

4. 分析結果 ― モデル比較

モデル比較証跡― 主要モデルの性能ランキング


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:229]

4. 分析結果 ― モデル比較

モデル比較証跡― 主要モデルの性能ランキング

解釈上の注意点


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:245]

#### Table

| 順位 | モデル | F1 (macro) | Accuracy |
| --- | --- | --- | --- |
| 1 | extra_trees | 0.6027 | 0.7780 |
| 2 | extra_trees | 0.5953 | 0.7751 |

[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:72]

0.6027

F1 (macro)

0.1581


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:84]

全体結論

上位リスク群に不良が集約される傾向を確認(precision@top10% ≈ 0.49)。実用に資するリスク区分の提示が可能。
ただし、interest_rate / grade の運用時点での利用可否、および時系列検証の不足により、本番利用には追加確認・外部検証・運用設計が必須である。



[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:187]
示唆整理
最終報告書作成

再現性・監査証跡: 実行設定(run_summary.json)と出力(metrics.json)を保存。前処理・モデルパラメータ・評価条件を文書化。版管理・議事録で意思決定をトレース。


### Slide 5

[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:203]

実務インパクトの見積り

上位10%スコア群における不良含有率が高く、スコアに基づくバケット化でリスク区分の初期運用設計(重点審査・与信条件変更の検討等)が可能である。

#### Table


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:220]
| --- | --- |
| ROC-AUC | 0.7127 |
| Accuracy | 0.7780 |
| F1 (macro) | 0.6027 |
| Brier Score | 0.1581 |
| precision@top10% | 0.4886 |


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:227]

### Slide 6

4. 分析結果 ― モデル比較

モデル比較証跡― 主要モデルの性能ランキング


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:229]

4. 分析結果 ― モデル比較

モデル比較証跡― 主要モデルの性能ランキング

解釈上の注意点


[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:245]

#### Table

| 順位 | モデル | F1 (macro) | Accuracy |
| --- | --- | --- | --- |
| 1 | extra_trees | 0.6027 | 0.7780 |
| 2 | extra_trees | 0.5953 | 0.7751 |",[data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:72] 0.6027 F1 (macro) 0.1581 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:84] 全体結論 上位リスク群に不良が集約される傾向を確認(precision@top10% ≈ 0.49)。実用に資するリスク区分の提示が可能。 ただし、interest_rate / grade の運用時点での利用可否、および時系列検証の不足により、本番利用には追加確認・外部検証・運用設計が必須である。 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:185] 示唆整理 最終報告書作成 再現性・監査証跡: 実行設定(run_summary.json)と出力(metrics.json)を保存。前処理・モデルパラメータ・評価条件を文書化。版管理・議事録で意思決定をトレース。 Step 4 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:203] 実務インパクトの見積り 上位10%スコア群における不良含有率が高く、スコアに基づくバケット化でリスク区分の初期運用設計(重点審査・与信条件変更の検討等)が可能である。 #### Table [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:220] | --- | --- | | ROC-AUC | 0.7127 | | Accuracy | 0.7780 | | F1 (macro) | 0.6027 | | Brier Score | 0.1581 | | precision@top10% | 0.4886 | [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:227] ### Slide 6 4. 分析結果 ― モデル比較 モデル比較証跡― 主要モデルの性能ランキング [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:229] 4. 分析結果 ― モデル比較 モデル比較証跡― 主要モデルの性能ランキング 解釈上の注意点 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md:245] #### Table | 順位 | モデル | F1 (macro) | Accuracy | | --- | --- | --- | --- | | 1 | extra_trees | 0.6027 | 0.7780 | | 2 | extra_trees | 0.5953 | 0.7751 | [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:72] 0.6027 F1 (macro) 0.1581 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:84] 全体結論 上位リスク群に不良が集約される傾向を確認(precision@top10% ≈ 0.49)。実用に資するリスク区分の提示が可能。 ただし、interest_rate / grade の運用時点での利用可否、および時系列検証の不足により、本番利用には追加確認・外部検証・運用設計が必須である。 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:187] 示唆整理 最終報告書作成 再現性・監査証跡: 実行設定(run_summary.json)と出力(metrics.json)を保存。前処理・モデルパラメータ・評価条件を文書化。版管理・議事録で意思決定をトレース。 ### Slide 5 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:203] 実務インパクトの見積り 上位10%スコア群における不良含有率が高く、スコアに基づくバケット化でリスク区分の初期運用設計(重点審査・与信条件変更の検討等)が可能である。 #### Table [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:220] | --- | --- | | ROC-AUC | 0.7127 | | Accuracy | 0.7780 | | F1 (macro) | 0.6027 | | Brier Score | 0.1581 | | precision@top10% | 0.4886 | [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:227] ### Slide 6 4. 分析結果 ― モデル比較 モデル比較証跡― 主要モデルの性能ランキング [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:229] 4. 分析結果 ― モデル比較 モデル比較証跡― 主要モデルの性能ランキング 解釈上の注意点 [data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md:245] #### Table | 順位 | モデル | F1 (macro) | Accuracy | | --- | --- | --- | --- | | 1 | extra_trees | 0.6027 | 0.7780 | | 2 | extra_trees | 0.5953 | 0.7751 |,"['data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md', 'data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md']",low,True,わかりません,,False
75,proposal_plan_week_lookup,第4週,"No.,フェーズ,タスクID,タスク名,タスク詳細,担当者,開始日,終了日,依存タスク,成果物,関連マイルストーン,関連会議,ステータス,備考 11,フェーズ4:モデル構築・比較,T11,変更管理チェックポイント,追加要望の契約内外判定、以降の作業計画確定,伊藤 翔太,2025-04-25,2025-04-25,T10,変更管理判定記録,MS5,変更管理確認,完了,CP4:変更管理CP通過。クリティカルパス上のタスク。分析方針バッファ日。 12,フェーズ4:モデル構築・比較,T12,ベースラインモデル構築,ベースラインモデルの構築と初期性能評価,鈴木 美咲,2025-04-25,2025-04-28,T11,ベースライン結果,-,-,完了,クリティカルパス上のタスク 13,フェーズ4:モデル構築・比較,T13,候補モデル学習・比較,複数候補モデルの学習、性能比較、採用候補絞り込み,鈴木 美咲,2025-04-28,2025-05-01,T12,モデル比較結果サマリ,MS6,週次進捗確認,完了,クリティカルパス上のタスク 14,フェーズ4:モデル構築・比較,T14,解釈分析・特徴量整理,寄与因子の解釈、特徴量重要度整理,鈴木 美咲、松本 真央,2025-05-01,2025-05-02,T13,解釈結果メモ,MS6,-,完了,クリティカルパス上のタスク",['data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv'],high,False,第4週,第4週,True
79,kaede_resource_hour_lookup,,かえで総合病院の計画フォルダ由来のschedule_resource行が0件。鍵付き計画ファイルが未抽出の可能性が高い。,['EDA/EDA051/tables/schedule_resource_inventory.csv'],none,True,,,False
80,spreadsheet_format_semantic_context,"""coordinate"": ""E1409"", ""bold"": false, ""italic"": false, ""underline"": false, ""font_color"": """", ""fill_color"": ""FFFFFF00"", ""number_format"": ""General""","data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json: ""coordinate"": ""E1409"", ""bold"": false, ""italic"": false, ""underline"": false, ""font_color"": """", ""fill_color"": ""FFFFFF00"", ""number_format"": ""General""",['data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json'],low,True,わかりません,,False
83,model_formula_recompute,,,[],none,True,,,False
