batch_start,batch_indices,attempt,model,http_status,success,error,response_chars,content_chars
0,"0,1,2,3,4,5,6,7,8,9",1,openai/gpt-oss-20b:free,200,True,,3091,2770
10,"10,11,12,13,14,15,16,17,18,19",1,openai/gpt-oss-20b:free,200,True,,3005,2704
20,"20,21,22,23,24,25,26,27,28,29",1,openai/gpt-oss-20b:free,200,True,,3350,3037
30,"30,31,32,33,34,35,36,37,38,39",1,openai/gpt-oss-20b:free,200,True,,2789,2496
40,"40,41,42,43,44,45,46,47,48,49",1,openai/gpt-oss-20b:free,200,True,,3096,2793
50,"50,51,52,53,54,55,56,57,58,59",1,openai/gpt-oss-20b:free,200,True,,2930,2613
60,"60,61,62,63,64,65,66,67,68,69",1,openai/gpt-oss-20b:free,200,True,,3055,2736
70,"70,71,72,73,74,75,76,77,78,79",1,openai/gpt-oss-20b:free,200,True,,3101,2784
80,"80,81,82,83,84,85,86,87,88,89",1,openai/gpt-oss-20b:free,200,True,,2981,2670
90,"90,91,92,93,94,95,96,97,98,99",1,openai/gpt-oss-20b:free,200,True,,2947,2638
