canonical_company_id,canonical_company_name,aliases,source_paths,confidence,ambiguity,normalization_reason,generated_by,source,requires_manual_review
project::京橋信用ソリューションズ株式会社,京橋信用ソリューションズ株式会社,京橋信用ソリューションズ株式会社,file_1aff1b560a3f2e24 | file_7f6ba34feefeb01a | file_4c872cbd8956e405 | file_21fab58c1f410821 | file_8fd0e20487420b74 | file_ea61a37d7e6f7c38 | file_e0021d6b69bfbbc7 | file_b74183a2c89cf7ac | file_08a5386769287d80 | file_d5e7d14b53826dc9 | file_b39cff866c2e898e | file_0783e32af794bbe2 | file_bd2717ce71999b83 | file_f95bbc679929e5c5 | file_a3f407f2d687f86c | file_8ba42aa604f7f7f9 | file_3c1c1977c65e2d18 | file_dc99a1086f55f326 | file_bcb7cf99b5e860ab | file_333d37d191bd9e13 | file_3aefd3a41f06070a | file_cdf6e3c6d8adf706 | file_a1d93bc4807130f0 | file_f19b300bf59d72b5 | file_2c489d4023671820 | file_99f0aa0ce8a38fc9 | file_dcf23a6ffbe3fdc8 | file_70303fd77eed04b5 | file_fb2ee3796a98596f | file_e26109ce6117286d | file_d0e5ce038fcc828c | file_5ad86df755747585 | file_cd36c2a74b87c74c | file_a23162b9670d9345 | file_4c683c135eb0d7e8 | file_dfcdb508120d023c,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::医療法人社団 恒一会 かえで総合病院,医療法人社団 恒一会 かえで総合病院,医療法人社団 恒一会 かえで総合病院,file_d72ac8163b01ef72 | file_e87e9b3ab6b0d39a | file_03d92cf92666adde | file_6aab39bed667662c | file_4fe0dd886c669e57 | file_6bae87759176c513 | file_cee0c40493616783 | file_052e4c42d93e6822 | file_4ef55e4d66d0c654 | file_a42c63b93b796df2 | file_dafc6d70b1c594ff | file_7adc687e255c7e58 | file_60c477c90d3783f5 | file_85e62a06cafe5ae7 | file_a605d1fa7e21ec7a | file_b4b62300ebb67d8d | file_cec95d639c611054 | file_46dfd5596ef51f76 | file_74c1cb204f1e7232 | file_28682ee4467c7da5 | file_436e1a8301570bd4 | file_06bec854eb7eb3be | file_6166db8b39dc0720 | file_b0703fc171951a6d | file_5b4a2970094d80d1 | file_93777010d94adb62 | file_2974abfbf4f90bcf | file_8a32846212fcdc0c | file_c3b0886e078bbf17 | file_53072823978f1f1d | file_5b90b11f6ffe8a31 | file_3b5b85611056e719 | file_95a12e7931def61b | file_72cd8e149ea9592d | file_d8d532411b40c183 | file_4f60d0d4ed6aeac1 | file_3214e231bd5034de | file_cc8e97e3d637960f | file_c2047ca2e1b6baa2,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::医療法人社団 蒼樹会 みなみ野女性医療センター,医療法人社団 蒼樹会 みなみ野女性医療センター,医療法人社団 蒼樹会 みなみ野女性医療センター,file_f51d50517ae9602a | file_35dab804db563c49 | file_bf3657e26a136347 | file_9c265e1ca7bc94dc | file_8726afc0efe9d707 | file_4e617bffe56a18e4 | file_29c29e83f97d5cc6 | file_5bdc73be8dd2c8f4 | file_f02caca9018a9a77 | file_ab81537d7ca46253 | file_6a5e486041eef27c | file_5fef5d49414ddf98 | file_931053602339192c | file_5a3c7de6cc81b773 | file_6d3070cd9e872c23 | file_e1a1a12d249deaa2 | file_a6cadc8dedf964f4 | file_da7c52c6cc3ead0f | file_3d6656db6681b039 | file_5cfb720f79b3a504 | file_67df4734d05e10d8 | file_cef8d37d568c3174 | file_0757a6a3cc1f39d5 | file_171967ce38484335 | file_6cfd790efdc747b0 | file_7ffd387b1cdce5db | file_8995122ec052e45c | file_135e8b12ad5af353 | file_e9f1e3dff820122d | file_2a59d98bc3221fcd | file_65a5f9ae0b87dffd | file_697f969debd6e282 | file_24c4e468a9503d06 | file_1d71f3e6a83fe48d | file_a61875e51c4e6ba7 | file_197352b337f4cbc8 | file_ed8004a9eff370bd | file_089d47a29a455478 | file_552963ebf5a72c62 | file_20fad7ef35777636,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::医療法人社団 蒼泉会 ひがし丘総合病院,医療法人社団 蒼泉会 ひがし丘総合病院,医療法人社団 蒼泉会 ひがし丘総合病院,file_70f9d108e37232bd | file_0cd4fc42e961ecf5 | file_2b1acc51e4227fce | file_8f181ae9e1155be2 | file_2d51866b0728e93a | file_926b51fc027e7e0f | file_b29c0ed37b2b443f | file_0b39a4281820a356 | file_3a0b10c6349ec1f9 | file_bdbd0815be5e3b1e | file_ea17992daca7ee63 | file_8f17c170486dd8ad | file_eb6d580282807f3b | file_1f6cfa164a8ea723 | file_0f3f121ac411c471 | file_221bd44c6c834f2e | file_acb5de0812aab1b7 | file_1c555ddb5103fdf8 | file_e4fb081408e68322 | file_0f1d03a0bc1c6420 | file_b51cddb4c96d5521 | file_4a38ac42508d61cc | file_1ddd5673cb55da27 | file_44f17233bbf9db3d | file_44c609fbd7db7997 | file_535c3d020309a254 | file_357dd61072e12f21 | file_59fd66c337bc7322 | file_579c32eaa9af85b5 | file_c24bcfc63bfe2af8 | file_d12079229f546ac0 | file_be3974a03a5ef2fe | file_04ff0c1d08714623 | file_b14710bfcd3e254e | file_45d248a37508b209,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::株式会社東都人材プラットフォーム,株式会社東都人材プラットフォーム,株式会社東都人材プラットフォーム,file_b1312a411e52ff80 | file_69289dcd3ecabac0 | file_8e7f976c6bf62fb6 | file_dd5371813c5647dd | file_d091379932502212 | file_a6a2c83346c0e405 | file_3a4964aae9b99206 | file_f93bbb3f1bfab41b | file_076cb0c68f79a797 | file_a868573d6720360e | file_812e1a066ee20299 | file_c75d520e8e3eb293 | file_2e07ffa7b98ec6ce | file_9d4ea2cb4bf3332f | file_dbc8be5d37bc70da | file_971efd7cfc6eae92 | file_ad11b40f210d5cbd | file_6c75ed439e5bf944 | file_37a8f79ea7615601 | file_06c2db9ac3192a33 | file_8ba45ba0480b1b1b | file_8f1edc622762900a | file_d59aa1275d09c2fa | file_a6f03cf3dc3895ec | file_d56b5bb9b7a24da1 | file_bf734842524f087c | file_5f363acc961ec743 | file_177e3dc5b2af332e | file_d7aa1a21a30521ea | file_ecf3e9dc901e6e47 | file_87d30f48385082b7 | file_d97b17ccc35aafaf | file_f49588e036518014 | file_b51efff55877d623 | file_d4f158e3db0aba5f | file_bc9b32c9c2d0c2b4 | file_539f8b256c2ec9c0 | file_aca3e469ebe6f7ed | file_be1cc2431b394277,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::株式会社青嶺不動産アセットマネジメント,株式会社青嶺不動産アセットマネジメント,株式会社青嶺不動産アセットマネジメント,file_3dbffa905dc9b2b1 | file_ef106a562ea6c4f4 | file_831dbc2d4bc189c3 | file_0305d0365eeba3e4 | file_c69eaac534a38cd3 | file_b3fe17675195e3cc | file_6aece51bf4ec7ba5 | file_c546f781d78a98ec | file_25bb9cfb31ab14b9 | file_cc88c568eafdbc98 | file_ee5f987d4f94b3a7 | file_b2b26bb9f514a5bf | file_0fc345812cb8cb10 | file_e77acb631e9e6337 | file_d3137320163379fc | file_2b94fecbbe587f21 | file_ee8258da4de43f7c | file_5bb3acbf3c52249f | file_b4454ce82c4352c9 | file_4c6add94dc067231 | file_fb332b909e752c3b | file_ee04f4e7f1fed772 | file_6a5ef4e5abccc37a | file_1e8f46466e240233 | file_c34375e1e8d2bc19 | file_d67af8dcbb6fcf21 | file_627476ba7e4ad18c | file_ec32adcdcca7ba84 | file_2714fbdd17492fb6 | file_5fd06088776716b1 | file_b5a7eee764f2edf2 | file_fc397c8d57c24e48 | file_06de9f93dbf17b0b | file_3f3b4e2ca03f1f48 | file_8a269f2c390a17e5 | file_6aae2cff9035936f | file_9282f76758d4435e | file_4d734b2c30ad41ee | file_4fa8d55179bcaeab | file_9453287d4c9b7701,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::株式会社青潮モビリティサービス,株式会社青潮モビリティサービス,株式会社青潮モビリティサービス,file_591a79dbe934438c | file_d2d39140cef077b8 | file_ab51c6cb524e224f | file_2bc156fc0ecfaaaa | file_c7097dc9da97e8ad | file_484902c8d773ebbc | file_c7599cfcb0ca4055 | file_4d6590f1c6dbc46f | file_d0868fcd3717317b | file_9d20c9ecb53f841e | file_450be782ca77c4a0 | file_87debb071b76d7e1 | file_f744d2ce7a347ad2 | file_47fc9688ebf98862 | file_ccf321ad46d6600e | file_714e989d9b0db016 | file_a07c34abf74d2564 | file_afdce206935fc610 | file_a1e8f4465aa499bb | file_a8771b67e2cfa9e5 | file_9f1daf10218542db | file_df354aa2e9d84942 | file_c3ac90e8e4d4a938 | file_22e665f3bfa2559b | file_1cf70ef05079b6ea | file_7c43ea61070f2f54 | file_87ab44d354136105 | file_0ceb6c4392517f8f | file_ebb5c52fe98fafe6 | file_7e970860a1be0d7b | file_59d0562a0cb19d1f | file_1b60b3b08eb2ca46 | file_ca628e1fa1f2c229 | file_88270e387c6aa908 | file_79d8609b3c2423a9 | file_f194c25cf74d7386 | file_c223ee6c62446a48 | file_ac64e2e74e0a29b9 | file_ddd2179f59b2b09d,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::株式会社青葉バイオメディカル機器,株式会社青葉バイオメディカル機器,株式会社青葉バイオメディカル機器,file_2c99707d925747c6 | file_c406f4075e462625 | file_d6eaf5cc92dbca27 | file_2465be5a64bf814b | file_da1753f8f671148e | file_3791a5988f6ec0ed | file_e5a375691d07318f | file_0714c80efd413c9f | file_b33f6f4c0b9c9052 | file_f23cd2e3620831e6 | file_cad91dcf407369c7 | file_bef0e7646500c137 | file_edbcc4981c67793e | file_bf15b15d5d3aa360 | file_b2608a973b6863e0 | file_1ee8470b47cc898e | file_87ad503a925b6078 | file_948e194c5cd597ee | file_c01ee8b341756cbf | file_bddea9402d644215 | file_c5e385900dfd38aa | file_7085cb9cc6475cbd | file_dcf25ad6d792d860 | file_0cebeecfce1e65b4 | file_e3c470c3add162b0 | file_b7750bc79e9d5ddb | file_ba3465d384f80cbf | file_75398ea43c9e3497 | file_c0492f5ded148f2a | file_841c963d4394b02e | file_68c8fede4948d806 | file_a452ac5e9344e277,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::白峰信用リスク評価株式会社,白峰信用リスク評価株式会社,白峰信用リスク評価株式会社,file_e7f13ee43ffadf3e | file_d9ecf52ef8521859 | file_a18e6e03b56e708d | file_1d5d4212321e2b00 | file_db0f2c6db06d4086 | file_5985fe68eddc3d11 | file_3c5a1d68eb6a6e16 | file_ff3b6cc2475b0590 | file_3f9a3a403aac25d2 | file_01bfafe3987df600 | file_d67c7626c3f3fbd7 | file_f9a7cb7085c305ce | file_16463dfce5216836 | file_98277b2c749a8460 | file_dfcb02ce2ce645fb | file_84e81b2e466058ad | file_bafdde05e3a1ec27 | file_5f69d70cc3744bed | file_8fe9eee4390ee61f | file_39d8122c8c4ff3ad | file_23ebc39f72c15fc7 | file_fc4ae2e86e45716e | file_083fd1b3eef75286 | file_e579e0f08b899a4a | file_e7737b3b1e04da32 | file_aaef32ac9c9223fc | file_e47ad3b68f15af0e | file_bfba37246f531be8 | file_bb49a3a299ad44eb | file_6ba2e7cf97087ab7 | file_46e480e86849d65f | file_7635c1f53b96baf4 | file_69a56a00e42fa555 | file_a389e81c80d707c5 | file_2bed8f6d9ad811a7 | file_d6f54ce7f06880c4 | file_9c46c0c931d6f658 | file_53aee60321c9a309 | file_9b5cea127e90dd59 | file_e9a98b71c2781a41,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
project::社内管理,社内管理,社内管理,file_ff69eac39a150594 | file_e1689b021af39776 | file_dd452ac080b90134 | file_8fb18453764bc6db,high,False,existing FileRecord.project_name,offline_inventory,file_records.jsonl,False
