feature,available_documents,selection_value,generated_by,source,confidence,requires_manual_review
title,79,candidate_probe,offline_probe_audit,document_probes,medium,True
slide_titles,23,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
sheet_names,12,candidate_probe,offline_probe_audit,document_probes,medium,True
task_ids,34,candidate_probe,offline_probe_audit,document_probes,medium,True
comments_present,0,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
charts_present,0,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
seating_layout_likely,3,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
bold_present,0,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
font_colors_present,0,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
formulas_present,0,requires_structure_enrichment,offline_probe_audit,document_probes,medium,True
